slug,path,family,title,meta_title,meta_description,summary,jurisdiction,primary_source_id,source_category,priority,batch_status,needs_official_source_block,needs_cross_site_handoff,canonical_domain,parent_project_slug,primary_intent,secondary_source_ids,must_link_to,template_id,thin_page_risk,minimum_unique_blocks,parent_approved_document
competent-person-schemes,/building-regulations/competent-person-schemes/,approval_route,Competent person schemes,Competent person schemes,When a registered installer can self-certify covered work and what certificate to keep.,When a registered installer can self-certify covered work and what certificate to keep.,England-first,govuk_use_competent_person,competent_person_scheme,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
completion-certificate,/building-regulations/completion-certificate/,approval_route,Building regulations completion certificate,Building regulations completion certificate,What a completion certificate proves and why it matters when selling or remortgaging.,What a completion certificate proves and why it matters when selling or remortgaging.,England-first,govuk_how_to_apply,application_route,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
building-control-inspections,/building-regulations/building-control-inspections/,approval_route,Building control inspections,Building control inspections,Typical inspection stages and what evidence to keep during work.,Typical inspection stages and what evidence to keep during work.,England-first,govuk_how_to_apply,application_route,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
drawings-and-specifications,/building-regulations/drawings-and-specifications/,approval_route,Building regulations drawings and specifications,Building regulations drawings and specifications,What drawings/specifications may be needed before building control can assess work.,What drawings/specifications may be needed before building control can assess work.,England-first,govuk_how_to_apply,application_route,medium,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
structural-calculations,/building-regulations/structural-calculations/,approval_route,Structural calculations and building regulations,Structural calculations and building regulations,"When structural calculations may be needed for beams, openings, loft floors and extensions.","When structural calculations may be needed for beams, openings, loft floors and extensions.",England-first,govuk_approved_documents_collection,approved_documents,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
higher-risk-buildings,/building-regulations/higher-risk-buildings/,guardrail,Higher-risk buildings and building control approval,Higher-risk buildings and building control approval,"Scope warning for flats, high-rise and BSR-controlled work. Not a DIY domestic shortcut page.","Scope warning for flats, high-rise and BSR-controlled work. Not a DIY domestic shortcut page.",England-first,govuk_bsr_higher_risk_buildings,higher_risk_buildings,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
wales-building-regulations,/building-regulations/wales/,jurisdiction,Building regulations in Wales,Building regulations in Wales,Devolved Wales source hub and warning not to rely on England-only Approved Document pages.,Devolved Wales source hub and warning not to rely on England-only Approved Document pages.,Wales,govwales_approved_documents,approved_documents_wales,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
scotland-building-standards,/building-regulations/scotland/,jurisdiction,Building standards in Scotland,Building standards in Scotland,Scotland source hub for building warrants and technical handbooks.,Scotland source hub for building warrants and technical handbooks.,Scotland,govscot_domestic_technical_handbook_2026,scotland_building_standards,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
extensions,/projects/extensions-building-regulations/,project,Building regulations for extensions,Building regulations for extensions,"Extension guide covering structure, insulation, drainage, fire safety, ventilation and completion evidence.","Extension guide covering structure, insulation, drainage, fire safety, ventilation and completion evidence.",England-first,govuk_building_regs_approval,approved_documents,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
single-storey-extensions,/projects/single-storey-extension-building-regulations/,project,Single-storey extension building regulations,Single-storey extension building regulations,Checklist-led guide for single-storey domestic extensions.,Checklist-led guide for single-storey domestic extensions.,England-first,govuk_building_regs_approval,approved_documents,medium,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
two-storey-extensions,/projects/two-storey-extension-building-regulations/,project,Two-storey extension building regulations,Two-storey extension building regulations,"Higher-risk domestic extension checks around structure, fire, drainage and energy.","Higher-risk domestic extension checks around structure, fire, drainage and energy.",England-first,govuk_building_regs_approval,approved_documents,medium,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
loft-conversions,/projects/loft-conversion-building-regulations/,project,Loft conversion building regulations,Loft conversion building regulations,"Fire escape, stairs, structure, insulation and ventilation requirements to discuss with building control.","Fire escape, stairs, structure, insulation and ventilation requirements to discuss with building control.",England-first,govuk_building_regs_approval,approved_documents,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
garage-conversions,/projects/garage-conversion-building-regulations/,project,Garage conversion building regulations,Garage conversion building regulations,"Conversion checks for structure, damp, insulation, ventilation, fire safety and sound.","Conversion checks for structure, damp, insulation, ventilation, fire safety and sound.",England-first,govuk_building_regs_approval,approved_documents,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
outbuildings,/projects/outbuilding-building-regulations/,project,Outbuilding building regulations,Outbuilding building regulations,"When garden buildings, offices and workshops move from exempt/simple to building-control relevant.","When garden buildings, offices and workshops move from exempt/simple to building-control relevant.",England-first,govuk_building_regs_approval,approval_needed,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
garden-rooms,/projects/garden-room-building-regulations/,project,Garden room building regulations,Garden room building regulations,"Garden office and habitable-use risk checks including electrics, drainage, sleeping use and size.","Garden office and habitable-use risk checks including electrics, drainage, sleeping use and size.",England-first,govuk_building_regs_approval,approval_needed,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
porches,/projects/porch-building-regulations/,project,Porch building regulations,Porch building regulations,"Porch exemption and risk checks around glazing, doors, access, electrics and heating.","Porch exemption and risk checks around glazing, doors, access, electrics and heating.",England-first,govuk_building_regs_approval,approval_needed,medium,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
structural-alterations,/projects/structural-alteration-building-regulations/,project,Structural alteration building regulations,Structural alteration building regulations,"Guide for removing walls, forming openings, beams and load paths.","Guide for removing walls, forming openings, beams and load paths.",England-first,govuk_approved_documents_collection,approved_documents,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
removing-load-bearing-wall,/projects/removing-load-bearing-wall-building-regulations/,project,Removing a load-bearing wall building regulations,Removing a load-bearing wall building regulations,"Beam, padstone, calculations, inspection and completion evidence guide.","Beam, padstone, calculations, inspection and completion evidence guide.",England-first,govuk_approved_documents_collection,approved_documents,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
chimney-breast-removal,/projects/chimney-breast-removal-building-regulations/,project,Chimney breast removal building regulations,Chimney breast removal building regulations,"Structural support, party wall and building control considerations.","Structural support, party wall and building control considerations.",England-first,govuk_approved_documents_collection,approved_documents,medium,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
roof-alterations,/projects/roof-alteration-building-regulations/,project,Roof alteration building regulations,Roof alteration building regulations,"Roof structure, insulation, rooflights, fire and ventilation checks.","Roof structure, insulation, rooflights, fire and ventilation checks.",England-first,govuk_approved_documents_collection,approved_documents,medium,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
rooflights,/projects/rooflight-building-regulations/,project,Rooflight building regulations,Rooflight building regulations,"Structure, glazing, energy and escape considerations for rooflights.","Structure, glazing, energy and escape considerations for rooflights.",England-first,govuk_approved_documents_collection,approved_documents,medium,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
windows-and-doors,/projects/windows-doors-building-regulations/,project,Windows and doors building regulations,Windows and doors building regulations,"Glazing, safety, thermal performance, ventilation and certificate evidence.","Glazing, safety, thermal performance, ventilation and certificate evidence.",England-first,govuk_use_competent_person,competent_person_scheme,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
electrical-work,/projects/electrical-work-building-regulations/,project,Electrical work building regulations,Electrical work building regulations,Notifiable electrical work and evidence routes for dwellings.,Notifiable electrical work and evidence routes for dwellings.,England-first,govuk_use_competent_person,competent_person_scheme,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
boilers-heating,/projects/boiler-heating-building-regulations/,project,Boiler and heating building regulations,Boiler and heating building regulations,"Heating work, combustion appliances, competent person route and certificate evidence.","Heating work, combustion appliances, competent person route and certificate evidence.",England-first,govuk_use_competent_person,competent_person_scheme,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
heat-pumps,/projects/heat-pump-building-regulations/,project,Heat pump building regulations,Heat pump building regulations,"Building regulations evidence, heating, electrics and planning-side handoff for heat pumps.","Building regulations evidence, heating, electrics and planning-side handoff for heat pumps.",England-first,govuk_use_competent_person,competent_person_scheme,medium,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
solar-panels,/projects/solar-panel-building-regulations/,project,Solar panel building regulations,Solar panel building regulations,"Electrical, structure, roof loading and evidence questions for solar panel installations.","Electrical, structure, roof loading and evidence questions for solar panel installations.",England-first,govuk_use_competent_person,competent_person_scheme,medium,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
drainage-and-waste,/projects/drainage-waste-building-regulations/,project,Drainage and waste building regulations,Drainage and waste building regulations,"Drainage runs, new bathrooms, kitchens, extensions and soakaway/connection questions.","Drainage runs, new bathrooms, kitchens, extensions and soakaway/connection questions.",England-first,govuk_approved_documents_collection,approved_documents,high,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
bathrooms,/projects/bathroom-building-regulations/,project,Bathroom building regulations,Bathroom building regulations,"Drainage, ventilation, electrics, structural and completion evidence checks.","Drainage, ventilation, electrics, structural and completion evidence checks.",England-first,govuk_approved_documents_collection,approved_documents,medium,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
kitchens,/projects/kitchen-building-regulations/,project,Kitchen building regulations,Kitchen building regulations,"Ventilation, electrics, drainage, structural changes and certificates for kitchen projects.","Ventilation, electrics, drainage, structural changes and certificates for kitchen projects.",England-first,govuk_approved_documents_collection,approved_documents,medium,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
insulation,/projects/insulation-building-regulations/,project,Insulation building regulations,Insulation building regulations,"Thermal work, ventilation risk and when a wider project changes the route.","Thermal work, ventilation risk and when a wider project changes the route.",England-first,govuk_approved_document_l_2026,approved_documents,medium,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
driveways-drainage,/projects/driveway-drainage-building-regulations/,project,Driveway drainage building regulations,Driveway drainage building regulations,Drainage and water management checks for hard surfaces and cross-over planning handoffs.,Drainage and water management checks for hard surfaces and cross-over planning handoffs.,England-first,govuk_approved_documents_collection,approved_documents,medium,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
basements,/projects/basement-conversion-building-regulations/,project,Basement conversion building regulations,Basement conversion building regulations,"Structure, moisture, ventilation, fire and drainage checks for basement conversions.","Structure, moisture, ventilation, fire and drainage checks for basement conversions.",England-first,govuk_approved_documents_collection,approved_documents,medium,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
underpinning,/projects/underpinning-building-regulations/,project,Underpinning building regulations,Underpinning building regulations,"Structural, party wall and inspection evidence checks for underpinning work.","Structural, party wall and inspection evidence checks for underpinning work.",England-first,govuk_approved_documents_collection,approved_documents,medium,batch_1_seed,True,True,https://buildingregsguide.co.uk,,,,,,,,
approved-document-a-structure,/approved-documents/approved-document-a-structure/,approved_document,Approved Document A: Structure,Approved Document A: Structure,Homeowner-focused explanation of Approved Document A: Structure and which project pages should link to it.,Homeowner-focused explanation of Approved Document A: Structure and which project pages should link to it.,England-first,govuk_approved_documents_collection,approved_documents,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
approved-document-b-fire-safety,/approved-documents/approved-document-b-fire-safety/,approved_document,Approved Document B: Fire safety,Approved Document B: Fire safety,Homeowner-focused explanation of Approved Document B: Fire safety and which project pages should link to it.,Homeowner-focused explanation of Approved Document B: Fire safety and which project pages should link to it.,England-first,govuk_approved_documents_collection,approved_documents,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
approved-document-c-site-preparation-moisture,/approved-documents/approved-document-c-site-preparation-moisture/,approved_document,Approved Document C: Site preparation and resistance to contaminants and moisture,Approved Document C: Site preparation and resistance to co,Homeowner-focused explanation of Approved Document C: Site preparation and resistance to contaminants and moisture and which project pages should link to i,Homeowner-focused explanation of Approved Document C: Site preparation and resistance to contaminants and moisture and which project pages should link to it.,England-first,govuk_approved_documents_collection,approved_documents,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
approved-document-e-sound,/approved-documents/approved-document-e-sound/,approved_document,Approved Document E: Resistance to sound,Approved Document E: Resistance to sound,Homeowner-focused explanation of Approved Document E: Resistance to sound and which project pages should link to it.,Homeowner-focused explanation of Approved Document E: Resistance to sound and which project pages should link to it.,England-first,govuk_approved_documents_collection,approved_documents,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
approved-document-f-ventilation,/approved-documents/approved-document-f-ventilation/,approved_document,Approved Document F: Ventilation,Approved Document F: Ventilation,Homeowner-focused explanation of Approved Document F: Ventilation and which project pages should link to it.,Homeowner-focused explanation of Approved Document F: Ventilation and which project pages should link to it.,England-first,govuk_approved_document_f_2026,approved_documents,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
approved-document-g-sanitation-hot-water-water-efficiency,/approved-documents/approved-document-g-sanitation-hot-water-water-efficiency/,approved_document,"Approved Document G: Sanitation, hot water safety and water efficiency","Approved Document G: Sanitation, hot water safety and wate","Homeowner-focused explanation of Approved Document G: Sanitation, hot water safety and water efficiency and which project pages should link to it.","Homeowner-focused explanation of Approved Document G: Sanitation, hot water safety and water efficiency and which project pages should link to it.",England-first,govuk_approved_documents_collection,approved_documents,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
approved-document-h-drainage-waste,/approved-documents/approved-document-h-drainage-waste/,approved_document,Approved Document H: Drainage and waste disposal,Approved Document H: Drainage and waste disposal,Homeowner-focused explanation of Approved Document H: Drainage and waste disposal and which project pages should link to it.,Homeowner-focused explanation of Approved Document H: Drainage and waste disposal and which project pages should link to it.,England-first,govuk_approved_documents_collection,approved_documents,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
approved-document-j-combustion-appliances,/approved-documents/approved-document-j-combustion-appliances/,approved_document,Approved Document J: Combustion appliances and fuel storage systems,Approved Document J: Combustion appliances and fuel storag,Homeowner-focused explanation of Approved Document J: Combustion appliances and fuel storage systems and which project pages should link to it.,Homeowner-focused explanation of Approved Document J: Combustion appliances and fuel storage systems and which project pages should link to it.,England-first,govuk_approved_documents_collection,approved_documents,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
approved-document-k-falling-collision-impact,/approved-documents/approved-document-k-falling-collision-impact/,approved_document,"Approved Document K: Protection from falling, collision and impact","Approved Document K: Protection from falling, collision an","Homeowner-focused explanation of Approved Document K: Protection from falling, collision and impact and which project pages should link to it.","Homeowner-focused explanation of Approved Document K: Protection from falling, collision and impact and which project pages should link to it.",England-first,govuk_approved_documents_collection,approved_documents,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
approved-document-l-conservation-fuel-power,/approved-documents/approved-document-l-conservation-fuel-power/,approved_document,Approved Document L: Conservation of fuel and power,Approved Document L: Conservation of fuel and power,Homeowner-focused explanation of Approved Document L: Conservation of fuel and power and which project pages should link to it.,Homeowner-focused explanation of Approved Document L: Conservation of fuel and power and which project pages should link to it.,England-first,govuk_approved_document_l_2026,approved_documents,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
approved-document-m-access,/approved-documents/approved-document-m-access/,approved_document,Approved Document M: Access to and use of buildings,Approved Document M: Access to and use of buildings,Homeowner-focused explanation of Approved Document M: Access to and use of buildings and which project pages should link to it.,Homeowner-focused explanation of Approved Document M: Access to and use of buildings and which project pages should link to it.,England-first,govuk_approved_documents_collection,approved_documents,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
approved-document-o-overheating,/approved-documents/approved-document-o-overheating/,approved_document,Approved Document O: Overheating,Approved Document O: Overheating,Homeowner-focused explanation of Approved Document O: Overheating and which project pages should link to it.,Homeowner-focused explanation of Approved Document O: Overheating and which project pages should link to it.,England-first,govuk_approved_documents_collection,approved_documents,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
approved-document-p-electrical-safety,/approved-documents/approved-document-p-electrical-safety/,approved_document,Approved Document P: Electrical safety - dwellings,Approved Document P: Electrical safety - dwellings,Homeowner-focused explanation of Approved Document P: Electrical safety - dwellings and which project pages should link to it.,Homeowner-focused explanation of Approved Document P: Electrical safety - dwellings and which project pages should link to it.,England-first,govuk_approved_documents_collection,approved_documents,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
approved-document-q-security,/approved-documents/approved-document-q-security/,approved_document,Approved Document Q: Security - dwellings,Approved Document Q: Security - dwellings,Homeowner-focused explanation of Approved Document Q: Security - dwellings and which project pages should link to it.,Homeowner-focused explanation of Approved Document Q: Security - dwellings and which project pages should link to it.,England-first,govuk_approved_documents_collection,approved_documents,low,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
approved-document-r-physical-infrastructure,/approved-documents/approved-document-r-physical-infrastructure/,approved_document,Approved Document R: Physical infrastructure for high-speed electronic communications networks,Approved Document R: Physical infrastructure for high-spee,Homeowner-focused explanation of Approved Document R: Physical infrastructure for high-speed electronic communications networks and which project pages sho,Homeowner-focused explanation of Approved Document R: Physical infrastructure for high-speed electronic communications networks and which project pages should link to it.,England-first,govuk_approved_documents_collection,approved_documents,low,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
approved-document-s-electric-vehicle-charging,/approved-documents/approved-document-s-electric-vehicle-charging/,approved_document,Approved Document S: Infrastructure for charging electric vehicles,Approved Document S: Infrastructure for charging electric ,Homeowner-focused explanation of Approved Document S: Infrastructure for charging electric vehicles and which project pages should link to it.,Homeowner-focused explanation of Approved Document S: Infrastructure for charging electric vehicles and which project pages should link to it.,England-first,govuk_approved_documents_collection,approved_documents,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
approved-document-t-toilets,/approved-documents/approved-document-t-toilets/,approved_document,Approved Document T: Toilet accommodation,Approved Document T: Toilet accommodation,Homeowner-focused explanation of Approved Document T: Toilet accommodation and which project pages should link to it.,Homeowner-focused explanation of Approved Document T: Toilet accommodation and which project pages should link to it.,England-first,govuk_approved_documents_collection,approved_documents,low,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
regulation-7-materials-workmanship,/approved-documents/regulation-7-materials-workmanship/,approved_document,Regulation 7: Materials and workmanship,Regulation 7: Materials and workmanship,Homeowner-focused explanation of Regulation 7: Materials and workmanship and which project pages should link to it.,Homeowner-focused explanation of Regulation 7: Materials and workmanship and which project pages should link to it.,England-first,govuk_approved_documents_collection,approved_documents,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
building-control-route-checker,/tools/building-control-route-checker/,tool,Building Control Route Checker,Building Control Route Checker,"Chooses likely next route: planning-first, full plans, building notice, competent person, regularisation, or specialist advice.","Chooses likely next route: planning-first, full plans, building notice, competent person, regularisation, or specialist advice.",England-first,govuk_building_regs_approval,tool,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
full-plans-vs-building-notice-checker,/tools/full-plans-vs-building-notice-checker/,tool,Full Plans vs Building Notice Checker,Full Plans vs Building Notice Checker,"Compares project complexity, certainty needs, start timing and structural risk.","Compares project complexity, certainty needs, start timing and structural risk.",England-first,govuk_building_regs_approval,tool,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
competent-person-scheme-checker,/tools/competent-person-scheme-checker/,tool,Competent Person Scheme Checker,Competent Person Scheme Checker,Checks whether the work type commonly fits registered installer self-certification.,Checks whether the work type commonly fits registered installer self-certification.,England-first,govuk_building_regs_approval,tool,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
completion-certificate-readiness-checker,/tools/completion-certificate-readiness-checker/,tool,Completion Certificate Readiness Checker,Completion Certificate Readiness Checker,"Creates a record list for inspections, certificates and missing evidence before completion.","Creates a record list for inspections, certificates and missing evidence before completion.",England-first,govuk_building_regs_approval,tool,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
inspection-stage-checklist-generator,/tools/inspection-stage-checklist-generator/,tool,Inspection Stage Checklist Generator,Inspection Stage Checklist Generator,"Builds likely inspection/evidence stages for extensions, lofts, garages and structural work.","Builds likely inspection/evidence stages for extensions, lofts, garages and structural work.",England-first,govuk_building_regs_approval,tool,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
approved-document-router,/tools/approved-document-router/,tool,Approved Document Router,Approved Document Router,Maps project features to relevant Approved Documents and source pages.,Maps project features to relevant Approved Documents and source pages.,England-first,govuk_how_to_apply,tool,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
extension-regs-prep-pack,/tools/extension-regs-prep-pack/,tool,Extension Building Regs Prep Pack,Extension Building Regs Prep Pack,Generates a pre-application pack for extension building control conversations.,Generates a pre-application pack for extension building control conversations.,England-first,govuk_how_to_apply,tool,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
loft-fire-safety-prep-checker,/tools/loft-fire-safety-prep-checker/,tool,Loft Fire Safety Prep Checker,Loft Fire Safety Prep Checker,"Flags loft conversion fire, escape and stair questions to settle before quotes.","Flags loft conversion fire, escape and stair questions to settle before quotes.",England-first,govuk_how_to_apply,tool,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
garage-conversion-regs-checker,/tools/garage-conversion-regs-checker/,tool,Garage Conversion Building Regs Checker,Garage Conversion Building Regs Checker,"Checks common garage conversion triggers: damp, insulation, ventilation, structure and fire.","Checks common garage conversion triggers: damp, insulation, ventilation, structure and fire.",England-first,govuk_how_to_apply,tool,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
structural-alteration-readiness-checker,/tools/structural-alteration-readiness-checker/,tool,Structural Alteration Readiness Checker,Structural Alteration Readiness Checker,"Creates a checklist for beams, openings, calculations, party wall risk and inspections.","Creates a checklist for beams, openings, calculations, party wall risk and inspections.",England-first,govuk_how_to_apply,tool,high,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
drainage-waste-route-checker,/tools/drainage-waste-route-checker/,tool,Drainage and Waste Route Checker,Drainage and Waste Route Checker,Checks whether drainage changes need early building control/design input.,Checks whether drainage changes need early building control/design input.,England-first,govuk_how_to_apply,tool,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
windows-doors-certificate-checker,/tools/windows-doors-certificate-checker/,tool,Windows and Doors Certificate Checker,Windows and Doors Certificate Checker,Helps homeowners know what certificate/evidence to request and keep.,Helps homeowners know what certificate/evidence to request and keep.,England-first,govuk_how_to_apply,tool,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
electrical-work-notifiable-checker,/tools/electrical-work-notifiable-checker/,tool,Electrical Work Notifiable Checker,Electrical Work Notifiable Checker,"Routes electrical work to competent person, building control or non-notifiable evidence reminder.","Routes electrical work to competent person, building control or non-notifiable evidence reminder.",England-first,govuk_how_to_apply,tool,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
heating-boiler-evidence-checker,/tools/heating-boiler-evidence-checker/,tool,Heating and Boiler Evidence Checker,Heating and Boiler Evidence Checker,Shows certificate and installer evidence to keep for heating/boiler work.,Shows certificate and installer evidence to keep for heating/boiler work.,England-first,govuk_how_to_apply,tool,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
regularisation-risk-triage,/tools/regularisation-risk-triage/,tool,Regularisation Risk Triage,Regularisation Risk Triage,For missing historic approvals; outputs what records to collect before approaching building control.,For missing historic approvals; outputs what records to collect before approaching building control.,England-first,govuk_how_to_apply,tool,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
sale-remortgage-evidence-pack-builder,/tools/sale-remortgage-evidence-pack-builder/,tool,Sale or Remortgage Evidence Pack Builder,Sale or Remortgage Evidence Pack Builder,Creates a record sheet for building-control evidence when selling or remortgaging.,Creates a record sheet for building-control evidence when selling or remortgaging.,England-first,govuk_how_to_apply,tool,medium,batch_1_seed,True,False,https://buildingregsguide.co.uk,,,,,,,,
