slug,path,family,parent_project_slug,title,meta_title,meta_description,summary,primary_intent,jurisdiction,primary_source_id,secondary_source_ids,must_link_to,template_id,thin_page_risk,minimum_unique_blocks,batch_status,parent_approved_document
what-documents-do-i-need-for-two-storey-extension,/questions/what-documents-do-i-need-for-two-storey-extension/,programmatic_question_page,two-storey-extension-building-regulations,What documents do I need for Two-storey extension?,What documents do I need for Two-storey extension?,"Prepare drawings, calculations, certificates, installer details and evidence for two-storey extension.","Prepare drawings, calculations, certificates, installer details and evidence for two-storey extension.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/two-storey-extension-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
common-building-regs-mistakes-two-storey-extension,/questions/common-building-regs-mistakes-two-storey-extension/,programmatic_question_page,two-storey-extension-building-regulations,Common building regulations mistakes with Two-storey extension,Common building regulations mistakes with Two-storey exten,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on two-storey extension.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on two-storey extension.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/two-storey-extension-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
do-i-need-building-regulations-for-loft-conversion,/questions/do-i-need-building-regulations-for-loft-conversion/,programmatic_question_page,loft-conversion-building-regulations,Do I need building regulations for Loft conversion?,Do I need building regulations for Loft conversion?,"Check whether loft conversion usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether loft conversion usually needs building regulations approval, what route is safest, and what evidence to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/loft-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-notice-or-full-plans-for-loft-conversion,/questions/building-notice-or-full-plans-for-loft-conversion/,programmatic_question_page,loft-conversion-building-regulations,Building notice or full plans for Loft conversion?,Building notice or full plans for Loft conversion?,"Compare building notice and full plans routes for loft conversion, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for loft conversion, with red flags that should push the project toward full plans.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/loft-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-control-inspections-for-loft-conversion,/questions/building-control-inspections-for-loft-conversion/,programmatic_question_page,loft-conversion-building-regulations,Building control inspections for Loft conversion,Building control inspections for Loft conversion,"See the likely inspection stages for loft conversion, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for loft conversion, what to prepare before each visit, and what proof to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/loft-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
completion-certificate-for-loft-conversion,/questions/completion-certificate-for-loft-conversion/,programmatic_question_page,loft-conversion-building-regulations,Completion certificate for Loft conversion,Completion certificate for Loft conversion,"Understand how the completion certificate stage normally works for loft conversion, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for loft conversion, what can delay it, and how to avoid missing documents.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/loft-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
what-documents-do-i-need-for-loft-conversion,/questions/what-documents-do-i-need-for-loft-conversion/,programmatic_question_page,loft-conversion-building-regulations,What documents do I need for Loft conversion?,What documents do I need for Loft conversion?,"Prepare drawings, calculations, certificates, installer details and evidence for loft conversion.","Prepare drawings, calculations, certificates, installer details and evidence for loft conversion.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/loft-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
common-building-regs-mistakes-loft-conversion,/questions/common-building-regs-mistakes-loft-conversion/,programmatic_question_page,loft-conversion-building-regulations,Common building regulations mistakes with Loft conversion,Common building regulations mistakes with Loft conversion,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on loft conversion.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on loft conversion.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/loft-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
do-i-need-building-regulations-for-garage-conversion,/questions/do-i-need-building-regulations-for-garage-conversion/,programmatic_question_page,garage-conversion-building-regulations,Do I need building regulations for Garage conversion?,Do I need building regulations for Garage conversion?,"Check whether garage conversion usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether garage conversion usually needs building regulations approval, what route is safest, and what evidence to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/garage-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-notice-or-full-plans-for-garage-conversion,/questions/building-notice-or-full-plans-for-garage-conversion/,programmatic_question_page,garage-conversion-building-regulations,Building notice or full plans for Garage conversion?,Building notice or full plans for Garage conversion?,"Compare building notice and full plans routes for garage conversion, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for garage conversion, with red flags that should push the project toward full plans.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/garage-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-control-inspections-for-garage-conversion,/questions/building-control-inspections-for-garage-conversion/,programmatic_question_page,garage-conversion-building-regulations,Building control inspections for Garage conversion,Building control inspections for Garage conversion,"See the likely inspection stages for garage conversion, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for garage conversion, what to prepare before each visit, and what proof to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/garage-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
completion-certificate-for-garage-conversion,/questions/completion-certificate-for-garage-conversion/,programmatic_question_page,garage-conversion-building-regulations,Completion certificate for Garage conversion,Completion certificate for Garage conversion,"Understand how the completion certificate stage normally works for garage conversion, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for garage conversion, what can delay it, and how to avoid missing documents.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/garage-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
what-documents-do-i-need-for-garage-conversion,/questions/what-documents-do-i-need-for-garage-conversion/,programmatic_question_page,garage-conversion-building-regulations,What documents do I need for Garage conversion?,What documents do I need for Garage conversion?,"Prepare drawings, calculations, certificates, installer details and evidence for garage conversion.","Prepare drawings, calculations, certificates, installer details and evidence for garage conversion.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/garage-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
common-building-regs-mistakes-garage-conversion,/questions/common-building-regs-mistakes-garage-conversion/,programmatic_question_page,garage-conversion-building-regulations,Common building regulations mistakes with Garage conversion,Common building regulations mistakes with Garage conversio,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on garage conversion.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on garage conversion.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/garage-conversion-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
do-i-need-building-regulations-for-removing-load-bearing-wall,/questions/do-i-need-building-regulations-for-removing-load-bearing-wall/,programmatic_question_page,removing-load-bearing-wall-building-regulations,Do I need building regulations for Removing a load-bearing wall?,Do I need building regulations for Removing a load-bearing,"Check whether removing a load-bearing wall usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether removing a load-bearing wall usually needs building regulations approval, what route is safest, and what evidence to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/removing-load-bearing-wall-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-notice-or-full-plans-for-removing-load-bearing-wall,/questions/building-notice-or-full-plans-for-removing-load-bearing-wall/,programmatic_question_page,removing-load-bearing-wall-building-regulations,Building notice or full plans for Removing a load-bearing wall?,Building notice or full plans for Removing a load-bearing ,"Compare building notice and full plans routes for removing a load-bearing wall, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for removing a load-bearing wall, with red flags that should push the project toward full plans.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/removing-load-bearing-wall-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-control-inspections-for-removing-load-bearing-wall,/questions/building-control-inspections-for-removing-load-bearing-wall/,programmatic_question_page,removing-load-bearing-wall-building-regulations,Building control inspections for Removing a load-bearing wall,Building control inspections for Removing a load-bearing w,"See the likely inspection stages for removing a load-bearing wall, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for removing a load-bearing wall, what to prepare before each visit, and what proof to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/removing-load-bearing-wall-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
completion-certificate-for-removing-load-bearing-wall,/questions/completion-certificate-for-removing-load-bearing-wall/,programmatic_question_page,removing-load-bearing-wall-building-regulations,Completion certificate for Removing a load-bearing wall,Completion certificate for Removing a load-bearing wall,"Understand how the completion certificate stage normally works for removing a load-bearing wall, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for removing a load-bearing wall, what can delay it, and how to avoid missing documents.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/removing-load-bearing-wall-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
what-documents-do-i-need-for-removing-load-bearing-wall,/questions/what-documents-do-i-need-for-removing-load-bearing-wall/,programmatic_question_page,removing-load-bearing-wall-building-regulations,What documents do I need for Removing a load-bearing wall?,What documents do I need for Removing a load-bearing wall?,"Prepare drawings, calculations, certificates, installer details and evidence for removing a load-bearing wall.","Prepare drawings, calculations, certificates, installer details and evidence for removing a load-bearing wall.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/removing-load-bearing-wall-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
common-building-regs-mistakes-removing-load-bearing-wall,/questions/common-building-regs-mistakes-removing-load-bearing-wall/,programmatic_question_page,removing-load-bearing-wall-building-regulations,Common building regulations mistakes with Removing a load-bearing wall,Common building regulations mistakes with Removing a load-,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on removing a load-bearing wall.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on removing a load-bearing wall.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/removing-load-bearing-wall-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
do-i-need-building-regulations-for-chimney-breast-removal,/questions/do-i-need-building-regulations-for-chimney-breast-removal/,programmatic_question_page,chimney-breast-removal-building-regulations,Do I need building regulations for Chimney breast removal?,Do I need building regulations for Chimney breast removal?,"Check whether chimney breast removal usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether chimney breast removal usually needs building regulations approval, what route is safest, and what evidence to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/chimney-breast-removal-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-notice-or-full-plans-for-chimney-breast-removal,/questions/building-notice-or-full-plans-for-chimney-breast-removal/,programmatic_question_page,chimney-breast-removal-building-regulations,Building notice or full plans for Chimney breast removal?,Building notice or full plans for Chimney breast removal?,"Compare building notice and full plans routes for chimney breast removal, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for chimney breast removal, with red flags that should push the project toward full plans.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/chimney-breast-removal-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-control-inspections-for-chimney-breast-removal,/questions/building-control-inspections-for-chimney-breast-removal/,programmatic_question_page,chimney-breast-removal-building-regulations,Building control inspections for Chimney breast removal,Building control inspections for Chimney breast removal,"See the likely inspection stages for chimney breast removal, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for chimney breast removal, what to prepare before each visit, and what proof to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/chimney-breast-removal-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
completion-certificate-for-chimney-breast-removal,/questions/completion-certificate-for-chimney-breast-removal/,programmatic_question_page,chimney-breast-removal-building-regulations,Completion certificate for Chimney breast removal,Completion certificate for Chimney breast removal,"Understand how the completion certificate stage normally works for chimney breast removal, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for chimney breast removal, what can delay it, and how to avoid missing documents.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/chimney-breast-removal-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
what-documents-do-i-need-for-chimney-breast-removal,/questions/what-documents-do-i-need-for-chimney-breast-removal/,programmatic_question_page,chimney-breast-removal-building-regulations,What documents do I need for Chimney breast removal?,What documents do I need for Chimney breast removal?,"Prepare drawings, calculations, certificates, installer details and evidence for chimney breast removal.","Prepare drawings, calculations, certificates, installer details and evidence for chimney breast removal.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/chimney-breast-removal-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
common-building-regs-mistakes-chimney-breast-removal,/questions/common-building-regs-mistakes-chimney-breast-removal/,programmatic_question_page,chimney-breast-removal-building-regulations,Common building regulations mistakes with Chimney breast removal,Common building regulations mistakes with Chimney breast r,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on chimney breast removal.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on chimney breast removal.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/chimney-breast-removal-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
do-i-need-building-regulations-for-bathroom,/questions/do-i-need-building-regulations-for-bathroom/,programmatic_question_page,bathroom-building-regulations,Do I need building regulations for Bathroom?,Do I need building regulations for Bathroom?,"Check whether bathroom usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether bathroom usually needs building regulations approval, what route is safest, and what evidence to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/bathroom-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-notice-or-full-plans-for-bathroom,/questions/building-notice-or-full-plans-for-bathroom/,programmatic_question_page,bathroom-building-regulations,Building notice or full plans for Bathroom?,Building notice or full plans for Bathroom?,"Compare building notice and full plans routes for bathroom, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for bathroom, with red flags that should push the project toward full plans.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/bathroom-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-control-inspections-for-bathroom,/questions/building-control-inspections-for-bathroom/,programmatic_question_page,bathroom-building-regulations,Building control inspections for Bathroom,Building control inspections for Bathroom,"See the likely inspection stages for bathroom, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for bathroom, what to prepare before each visit, and what proof to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/bathroom-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
completion-certificate-for-bathroom,/questions/completion-certificate-for-bathroom/,programmatic_question_page,bathroom-building-regulations,Completion certificate for Bathroom,Completion certificate for Bathroom,"Understand how the completion certificate stage normally works for bathroom, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for bathroom, what can delay it, and how to avoid missing documents.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/bathroom-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
what-documents-do-i-need-for-bathroom,/questions/what-documents-do-i-need-for-bathroom/,programmatic_question_page,bathroom-building-regulations,What documents do I need for Bathroom?,What documents do I need for Bathroom?,"Prepare drawings, calculations, certificates, installer details and evidence for bathroom.","Prepare drawings, calculations, certificates, installer details and evidence for bathroom.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/bathroom-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
common-building-regs-mistakes-bathroom,/questions/common-building-regs-mistakes-bathroom/,programmatic_question_page,bathroom-building-regulations,Common building regulations mistakes with Bathroom,Common building regulations mistakes with Bathroom,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on bathroom.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on bathroom.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/bathroom-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
