source_path,target_path,anchor,reason,placement
/approved-documents/h-drainage-waste/,/projects/single-storey-extension-building-regulations/,Single-storey extension building regulations,Approved Document H is relevant to Single-storey extension building regulations.,related_project
/,/projects/two-storey-extension-building-regulations/,Two-storey extension building regulations,Homepage should route into core project pages.,hub_card
/projects/two-storey-extension-building-regulations/,/tools/building-control-route-checker/,check your building control route,Project page should send user to route checker.,cta
/projects/two-storey-extension-building-regulations/,/downloads/,download a project checklist,Project page should send user to downloadable evidence assets.,cta
/projects/two-storey-extension-building-regulations/,/approved-documents/,related Approved Documents,Project page should link to Approved Document explanation layer.,contextual
/projects/two-storey-extension-building-regulations/,/approved-documents/a-structure/,Approved Document A: Structure,Two-storey extension building regulations references Approved Document A.,contextual
/approved-documents/a-structure/,/projects/two-storey-extension-building-regulations/,Two-storey extension building regulations,Approved Document A is relevant to Two-storey extension building regulations.,related_project
/projects/two-storey-extension-building-regulations/,/approved-documents/b-fire-safety/,Approved Document B: Fire safety,Two-storey extension building regulations references Approved Document B.,contextual
/approved-documents/b-fire-safety/,/projects/two-storey-extension-building-regulations/,Two-storey extension building regulations,Approved Document B is relevant to Two-storey extension building regulations.,related_project
/projects/two-storey-extension-building-regulations/,/approved-documents/c-site-preparation-moisture/,"Approved Document C: Site preparation, contaminants and moisture",Two-storey extension building regulations references Approved Document C.,contextual
/approved-documents/c-site-preparation-moisture/,/projects/two-storey-extension-building-regulations/,Two-storey extension building regulations,Approved Document C is relevant to Two-storey extension building regulations.,related_project
/projects/two-storey-extension-building-regulations/,/approved-documents/f-ventilation/,Approved Document F: Ventilation,Two-storey extension building regulations references Approved Document F.,contextual
/approved-documents/f-ventilation/,/projects/two-storey-extension-building-regulations/,Two-storey extension building regulations,Approved Document F is relevant to Two-storey extension building regulations.,related_project
/projects/two-storey-extension-building-regulations/,/approved-documents/g-sanitation-hot-water-water-efficiency/,"Approved Document G: Sanitation, hot water safety and water efficiency",Two-storey extension building regulations references Approved Document G.,contextual
/approved-documents/g-sanitation-hot-water-water-efficiency/,/projects/two-storey-extension-building-regulations/,Two-storey extension building regulations,Approved Document G is relevant to Two-storey extension building regulations.,related_project
/projects/two-storey-extension-building-regulations/,/approved-documents/h-drainage-waste/,Approved Document H: Drainage and waste disposal,Two-storey extension building regulations references Approved Document H.,contextual
/approved-documents/h-drainage-waste/,/projects/two-storey-extension-building-regulations/,Two-storey extension building regulations,Approved Document H is relevant to Two-storey extension building regulations.,related_project
/,/projects/loft-conversion-building-regulations/,Loft conversion building regulations,Homepage should route into core project pages.,hub_card
/projects/loft-conversion-building-regulations/,/tools/building-control-route-checker/,check your building control route,Project page should send user to route checker.,cta
/projects/loft-conversion-building-regulations/,/downloads/,download a project checklist,Project page should send user to downloadable evidence assets.,cta
/projects/loft-conversion-building-regulations/,/approved-documents/,related Approved Documents,Project page should link to Approved Document explanation layer.,contextual
/projects/loft-conversion-building-regulations/,/approved-documents/a-structure/,Approved Document A: Structure,Loft conversion building regulations references Approved Document A.,contextual
/approved-documents/a-structure/,/projects/loft-conversion-building-regulations/,Loft conversion building regulations,Approved Document A is relevant to Loft conversion building regulations.,related_project
/projects/loft-conversion-building-regulations/,/approved-documents/b-fire-safety/,Approved Document B: Fire safety,Loft conversion building regulations references Approved Document B.,contextual
/approved-documents/b-fire-safety/,/projects/loft-conversion-building-regulations/,Loft conversion building regulations,Approved Document B is relevant to Loft conversion building regulations.,related_project
/projects/loft-conversion-building-regulations/,/approved-documents/f-ventilation/,Approved Document F: Ventilation,Loft conversion building regulations references Approved Document F.,contextual
/approved-documents/f-ventilation/,/projects/loft-conversion-building-regulations/,Loft conversion building regulations,Approved Document F is relevant to Loft conversion building regulations.,related_project
/projects/loft-conversion-building-regulations/,/approved-documents/k-falling-collision-impact/,"Approved Document K: Protection from falling, collision and impact",Loft conversion building regulations references Approved Document K.,contextual
/approved-documents/k-falling-collision-impact/,/projects/loft-conversion-building-regulations/,Loft conversion building regulations,Approved Document K is relevant to Loft conversion building regulations.,related_project
/projects/loft-conversion-building-regulations/,/approved-documents/l-conservation-fuel-power/,Approved Document L: Conservation of fuel and power,Loft conversion building regulations references Approved Document L.,contextual
/approved-documents/l-conservation-fuel-power/,/projects/loft-conversion-building-regulations/,Loft conversion building regulations,Approved Document L is relevant to Loft conversion building regulations.,related_project
/projects/loft-conversion-building-regulations/,/approved-documents/p-electrical-safety/,Approved Document P: Electrical safety,Loft conversion building regulations references Approved Document P.,contextual
/approved-documents/p-electrical-safety/,/projects/loft-conversion-building-regulations/,Loft conversion building regulations,Approved Document P is relevant to Loft conversion building regulations.,related_project
/,/projects/garage-conversion-building-regulations/,Garage conversion building regulations,Homepage should route into core project pages.,hub_card
/projects/garage-conversion-building-regulations/,/tools/building-control-route-checker/,check your building control route,Project page should send user to route checker.,cta
/projects/garage-conversion-building-regulations/,/downloads/,download a project checklist,Project page should send user to downloadable evidence assets.,cta
/projects/garage-conversion-building-regulations/,/approved-documents/,related Approved Documents,Project page should link to Approved Document explanation layer.,contextual
/projects/garage-conversion-building-regulations/,/approved-documents/a-structure/,Approved Document A: Structure,Garage conversion building regulations references Approved Document A.,contextual
/approved-documents/a-structure/,/projects/garage-conversion-building-regulations/,Garage conversion building regulations,Approved Document A is relevant to Garage conversion building regulations.,related_project
/projects/garage-conversion-building-regulations/,/approved-documents/b-fire-safety/,Approved Document B: Fire safety,Garage conversion building regulations references Approved Document B.,contextual
/approved-documents/b-fire-safety/,/projects/garage-conversion-building-regulations/,Garage conversion building regulations,Approved Document B is relevant to Garage conversion building regulations.,related_project
/projects/garage-conversion-building-regulations/,/approved-documents/c-site-preparation-moisture/,"Approved Document C: Site preparation, contaminants and moisture",Garage conversion building regulations references Approved Document C.,contextual
/approved-documents/c-site-preparation-moisture/,/projects/garage-conversion-building-regulations/,Garage conversion building regulations,Approved Document C is relevant to Garage conversion building regulations.,related_project
/projects/garage-conversion-building-regulations/,/approved-documents/f-ventilation/,Approved Document F: Ventilation,Garage conversion building regulations references Approved Document F.,contextual
/approved-documents/f-ventilation/,/projects/garage-conversion-building-regulations/,Garage conversion building regulations,Approved Document F is relevant to Garage conversion building regulations.,related_project
/projects/garage-conversion-building-regulations/,/approved-documents/l-conservation-fuel-power/,Approved Document L: Conservation of fuel and power,Garage conversion building regulations references Approved Document L.,contextual
/approved-documents/l-conservation-fuel-power/,/projects/garage-conversion-building-regulations/,Garage conversion building regulations,Approved Document L is relevant to Garage conversion building regulations.,related_project
/projects/garage-conversion-building-regulations/,/approved-documents/p-electrical-safety/,Approved Document P: Electrical safety,Garage conversion building regulations references Approved Document P.,contextual
/approved-documents/p-electrical-safety/,/projects/garage-conversion-building-regulations/,Garage conversion building regulations,Approved Document P is relevant to Garage conversion building regulations.,related_project
/,/projects/removing-load-bearing-wall-building-regulations/,Removing a load-bearing wall building regulations,Homepage should route into core project pages.,hub_card
/projects/removing-load-bearing-wall-building-regulations/,/tools/building-control-route-checker/,check your building control route,Project page should send user to route checker.,cta
/projects/removing-load-bearing-wall-building-regulations/,/downloads/,download a project checklist,Project page should send user to downloadable evidence assets.,cta
/projects/removing-load-bearing-wall-building-regulations/,/approved-documents/,related Approved Documents,Project page should link to Approved Document explanation layer.,contextual
/projects/removing-load-bearing-wall-building-regulations/,/approved-documents/a-structure/,Approved Document A: Structure,Removing a load-bearing wall building regulations references Approved Document A.,contextual
/approved-documents/a-structure/,/projects/removing-load-bearing-wall-building-regulations/,Removing a load-bearing wall building regulations,Approved Document A is relevant to Removing a load-bearing wall building regulations.,related_project
/projects/removing-load-bearing-wall-building-regulations/,/approved-documents/b-fire-safety/,Approved Document B: Fire safety,Removing a load-bearing wall building regulations references Approved Document B.,contextual
/approved-documents/b-fire-safety/,/projects/removing-load-bearing-wall-building-regulations/,Removing a load-bearing wall building regulations,Approved Document B is relevant to Removing a load-bearing wall building regulations.,related_project
/projects/removing-load-bearing-wall-building-regulations/,/approved-documents/k-falling-collision-impact/,"Approved Document K: Protection from falling, collision and impact",Removing a load-bearing wall building regulations references Approved Document K.,contextual
/approved-documents/k-falling-collision-impact/,/projects/removing-load-bearing-wall-building-regulations/,Removing a load-bearing wall building regulations,Approved Document K is relevant to Removing a load-bearing wall building regulations.,related_project
/,/projects/chimney-breast-removal-building-regulations/,Chimney breast removal building regulations,Homepage should route into core project pages.,hub_card
/projects/chimney-breast-removal-building-regulations/,/tools/building-control-route-checker/,check your building control route,Project page should send user to route checker.,cta
/projects/chimney-breast-removal-building-regulations/,/downloads/,download a project checklist,Project page should send user to downloadable evidence assets.,cta
/projects/chimney-breast-removal-building-regulations/,/approved-documents/,related Approved Documents,Project page should link to Approved Document explanation layer.,contextual
/projects/chimney-breast-removal-building-regulations/,/approved-documents/a-structure/,Approved Document A: Structure,Chimney breast removal building regulations references Approved Document A.,contextual
/approved-documents/a-structure/,/projects/chimney-breast-removal-building-regulations/,Chimney breast removal building regulations,Approved Document A is relevant to Chimney breast removal building regulations.,related_project
/projects/chimney-breast-removal-building-regulations/,/approved-documents/b-fire-safety/,Approved Document B: Fire safety,Chimney breast removal building regulations references Approved Document B.,contextual
/approved-documents/b-fire-safety/,/projects/chimney-breast-removal-building-regulations/,Chimney breast removal building regulations,Approved Document B is relevant to Chimney breast removal building regulations.,related_project
/projects/chimney-breast-removal-building-regulations/,/approved-documents/j-combustion-appliances/,Approved Document J: Combustion appliances and fuel storage,Chimney breast removal building regulations references Approved Document J.,contextual
/approved-documents/j-combustion-appliances/,/projects/chimney-breast-removal-building-regulations/,Chimney breast removal building regulations,Approved Document J is relevant to Chimney breast removal building regulations.,related_project
/,/projects/bathroom-building-regulations/,Bathroom building regulations,Homepage should route into core project pages.,hub_card
/projects/bathroom-building-regulations/,/tools/building-control-route-checker/,check your building control route,Project page should send user to route checker.,cta
/projects/bathroom-building-regulations/,/downloads/,download a project checklist,Project page should send user to downloadable evidence assets.,cta
/projects/bathroom-building-regulations/,/approved-documents/,related Approved Documents,Project page should link to Approved Document explanation layer.,contextual
/projects/bathroom-building-regulations/,/approved-documents/f-ventilation/,Approved Document F: Ventilation,Bathroom building regulations references Approved Document F.,contextual
/approved-documents/f-ventilation/,/projects/bathroom-building-regulations/,Bathroom building regulations,Approved Document F is relevant to Bathroom building regulations.,related_project
/projects/bathroom-building-regulations/,/approved-documents/g-sanitation-hot-water-water-efficiency/,"Approved Document G: Sanitation, hot water safety and water efficiency",Bathroom building regulations references Approved Document G.,contextual
/approved-documents/g-sanitation-hot-water-water-efficiency/,/projects/bathroom-building-regulations/,Bathroom building regulations,Approved Document G is relevant to Bathroom building regulations.,related_project
/projects/bathroom-building-regulations/,/approved-documents/h-drainage-waste/,Approved Document H: Drainage and waste disposal,Bathroom building regulations references Approved Document H.,contextual
/approved-documents/h-drainage-waste/,/projects/bathroom-building-regulations/,Bathroom building regulations,Approved Document H is relevant to Bathroom building regulations.,related_project
/projects/bathroom-building-regulations/,/approved-documents/p-electrical-safety/,Approved Document P: Electrical safety,Bathroom building regulations references Approved Document P.,contextual
/approved-documents/p-electrical-safety/,/projects/bathroom-building-regulations/,Bathroom building regulations,Approved Document P is relevant to Bathroom building regulations.,related_project
/projects/bathroom-building-regulations/,/approved-documents/k-falling-collision-impact/,"Approved Document K: Protection from falling, collision and impact",Bathroom building regulations references Approved Document K.,contextual
/approved-documents/k-falling-collision-impact/,/projects/bathroom-building-regulations/,Bathroom building regulations,Approved Document K is relevant to Bathroom building regulations.,related_project
/,/projects/kitchen-building-regulations/,Kitchen building regulations,Homepage should route into core project pages.,hub_card
/projects/kitchen-building-regulations/,/tools/building-control-route-checker/,check your building control route,Project page should send user to route checker.,cta
/projects/kitchen-building-regulations/,/downloads/,download a project checklist,Project page should send user to downloadable evidence assets.,cta
/projects/kitchen-building-regulations/,/approved-documents/,related Approved Documents,Project page should link to Approved Document explanation layer.,contextual
/projects/kitchen-building-regulations/,/approved-documents/f-ventilation/,Approved Document F: Ventilation,Kitchen building regulations references Approved Document F.,contextual
/approved-documents/f-ventilation/,/projects/kitchen-building-regulations/,Kitchen building regulations,Approved Document F is relevant to Kitchen building regulations.,related_project
/projects/kitchen-building-regulations/,/approved-documents/g-sanitation-hot-water-water-efficiency/,"Approved Document G: Sanitation, hot water safety and water efficiency",Kitchen building regulations references Approved Document G.,contextual
/approved-documents/g-sanitation-hot-water-water-efficiency/,/projects/kitchen-building-regulations/,Kitchen building regulations,Approved Document G is relevant to Kitchen building regulations.,related_project
/projects/kitchen-building-regulations/,/approved-documents/h-drainage-waste/,Approved Document H: Drainage and waste disposal,Kitchen building regulations references Approved Document H.,contextual
/approved-documents/h-drainage-waste/,/projects/kitchen-building-regulations/,Kitchen building regulations,Approved Document H is relevant to Kitchen building regulations.,related_project
/projects/kitchen-building-regulations/,/approved-documents/p-electrical-safety/,Approved Document P: Electrical safety,Kitchen building regulations references Approved Document P.,contextual
/approved-documents/p-electrical-safety/,/projects/kitchen-building-regulations/,Kitchen building regulations,Approved Document P is relevant to Kitchen building regulations.,related_project
/projects/kitchen-building-regulations/,/approved-documents/j-combustion-appliances/,Approved Document J: Combustion appliances and fuel storage,Kitchen building regulations references Approved Document J.,contextual
/approved-documents/j-combustion-appliances/,/projects/kitchen-building-regulations/,Kitchen building regulations,Approved Document J is relevant to Kitchen building regulations.,related_project
/projects/kitchen-building-regulations/,/approved-documents/l-conservation-fuel-power/,Approved Document L: Conservation of fuel and power,Kitchen building regulations references Approved Document L.,contextual
/approved-documents/l-conservation-fuel-power/,/projects/kitchen-building-regulations/,Kitchen building regulations,Approved Document L is relevant to Kitchen building regulations.,related_project
/,/projects/replacement-windows-doors-building-regulations/,Replacement windows and doors building regulations,Homepage should route into core project pages.,hub_card
/projects/replacement-windows-doors-building-regulations/,/tools/building-control-route-checker/,check your building control route,Project page should send user to route checker.,cta
/projects/replacement-windows-doors-building-regulations/,/downloads/,download a project checklist,Project page should send user to downloadable evidence assets.,cta
/projects/replacement-windows-doors-building-regulations/,/approved-documents/,related Approved Documents,Project page should link to Approved Document explanation layer.,contextual
/projects/replacement-windows-doors-building-regulations/,/approved-documents/l-conservation-fuel-power/,Approved Document L: Conservation of fuel and power,Replacement windows and doors building regulations references Approved Document L.,contextual
/approved-documents/l-conservation-fuel-power/,/projects/replacement-windows-doors-building-regulations/,Replacement windows and doors building regulations,Approved Document L is relevant to Replacement windows and doors building regulations.,related_project
/projects/replacement-windows-doors-building-regulations/,/approved-documents/k-falling-collision-impact/,"Approved Document K: Protection from falling, collision and impact",Replacement windows and doors building regulations references Approved Document K.,contextual
/approved-documents/k-falling-collision-impact/,/projects/replacement-windows-doors-building-regulations/,Replacement windows and doors building regulations,Approved Document K is relevant to Replacement windows and doors building regulations.,related_project
/projects/replacement-windows-doors-building-regulations/,/approved-documents/b-fire-safety/,Approved Document B: Fire safety,Replacement windows and doors building regulations references Approved Document B.,contextual
/approved-documents/b-fire-safety/,/projects/replacement-windows-doors-building-regulations/,Replacement windows and doors building regulations,Approved Document B is relevant to Replacement windows and doors building regulations.,related_project
/projects/replacement-windows-doors-building-regulations/,/approved-documents/q-security/,Approved Document Q: Security in dwellings,Replacement windows and doors building regulations references Approved Document Q.,contextual
/approved-documents/q-security/,/projects/replacement-windows-doors-building-regulations/,Replacement windows and doors building regulations,Approved Document Q is relevant to Replacement windows and doors building regulations.,related_project
/projects/replacement-windows-doors-building-regulations/,/approved-documents/f-ventilation/,Approved Document F: Ventilation,Replacement windows and doors building regulations references Approved Document F.,contextual
/approved-documents/f-ventilation/,/projects/replacement-windows-doors-building-regulations/,Replacement windows and doors building regulations,Approved Document F is relevant to Replacement windows and doors building regulations.,related_project
/,/projects/boiler-heating-building-regulations/,Boiler and heating building regulations,Homepage should route into core project pages.,hub_card
/projects/boiler-heating-building-regulations/,/tools/building-control-route-checker/,check your building control route,Project page should send user to route checker.,cta
/projects/boiler-heating-building-regulations/,/downloads/,download a project checklist,Project page should send user to downloadable evidence assets.,cta
/projects/boiler-heating-building-regulations/,/approved-documents/,related Approved Documents,Project page should link to Approved Document explanation layer.,contextual
/projects/boiler-heating-building-regulations/,/approved-documents/j-combustion-appliances/,Approved Document J: Combustion appliances and fuel storage,Boiler and heating building regulations references Approved Document J.,contextual
/approved-documents/j-combustion-appliances/,/projects/boiler-heating-building-regulations/,Boiler and heating building regulations,Approved Document J is relevant to Boiler and heating building regulations.,related_project
/projects/boiler-heating-building-regulations/,/approved-documents/l-conservation-fuel-power/,Approved Document L: Conservation of fuel and power,Boiler and heating building regulations references Approved Document L.,contextual
/approved-documents/l-conservation-fuel-power/,/projects/boiler-heating-building-regulations/,Boiler and heating building regulations,Approved Document L is relevant to Boiler and heating building regulations.,related_project
/projects/boiler-heating-building-regulations/,/approved-documents/f-ventilation/,Approved Document F: Ventilation,Boiler and heating building regulations references Approved Document F.,contextual
/approved-documents/f-ventilation/,/projects/boiler-heating-building-regulations/,Boiler and heating building regulations,Approved Document F is relevant to Boiler and heating building regulations.,related_project
/projects/boiler-heating-building-regulations/,/approved-documents/p-electrical-safety/,Approved Document P: Electrical safety,Boiler and heating building regulations references Approved Document P.,contextual
/approved-documents/p-electrical-safety/,/projects/boiler-heating-building-regulations/,Boiler and heating building regulations,Approved Document P is relevant to Boiler and heating building regulations.,related_project
/,/projects/electrical-work-building-regulations/,Electrical work building regulations,Homepage should route into core project pages.,hub_card
/projects/electrical-work-building-regulations/,/tools/building-control-route-checker/,check your building control route,Project page should send user to route checker.,cta
/projects/electrical-work-building-regulations/,/downloads/,download a project checklist,Project page should send user to downloadable evidence assets.,cta
/projects/electrical-work-building-regulations/,/approved-documents/,related Approved Documents,Project page should link to Approved Document explanation layer.,contextual
/projects/electrical-work-building-regulations/,/approved-documents/p-electrical-safety/,Approved Document P: Electrical safety,Electrical work building regulations references Approved Document P.,contextual
/approved-documents/p-electrical-safety/,/projects/electrical-work-building-regulations/,Electrical work building regulations,Approved Document P is relevant to Electrical work building regulations.,related_project
/projects/electrical-work-building-regulations/,/approved-documents/l-conservation-fuel-power/,Approved Document L: Conservation of fuel and power,Electrical work building regulations references Approved Document L.,contextual
/approved-documents/l-conservation-fuel-power/,/projects/electrical-work-building-regulations/,Electrical work building regulations,Approved Document L is relevant to Electrical work building regulations.,related_project
/projects/electrical-work-building-regulations/,/approved-documents/s-electric-vehicle-charging/,Approved Document S: Electric vehicle charging infrastructure,Electrical work building regulations references Approved Document S.,contextual
/approved-documents/s-electric-vehicle-charging/,/projects/electrical-work-building-regulations/,Electrical work building regulations,Approved Document S is relevant to Electrical work building regulations.,related_project
/,/projects/solar-panels-building-regulations/,Solar panels building regulations,Homepage should route into core project pages.,hub_card
/projects/solar-panels-building-regulations/,/tools/building-control-route-checker/,check your building control route,Project page should send user to route checker.,cta
/projects/solar-panels-building-regulations/,/downloads/,download a project checklist,Project page should send user to downloadable evidence assets.,cta
/projects/solar-panels-building-regulations/,/approved-documents/,related Approved Documents,Project page should link to Approved Document explanation layer.,contextual
/projects/solar-panels-building-regulations/,/approved-documents/a-structure/,Approved Document A: Structure,Solar panels building regulations references Approved Document A.,contextual
/approved-documents/a-structure/,/projects/solar-panels-building-regulations/,Solar panels building regulations,Approved Document A is relevant to Solar panels building regulations.,related_project
/projects/solar-panels-building-regulations/,/approved-documents/p-electrical-safety/,Approved Document P: Electrical safety,Solar panels building regulations references Approved Document P.,contextual
/approved-documents/p-electrical-safety/,/projects/solar-panels-building-regulations/,Solar panels building regulations,Approved Document P is relevant to Solar panels building regulations.,related_project
/projects/solar-panels-building-regulations/,/approved-documents/l-conservation-fuel-power/,Approved Document L: Conservation of fuel and power,Solar panels building regulations references Approved Document L.,contextual
/approved-documents/l-conservation-fuel-power/,/projects/solar-panels-building-regulations/,Solar panels building regulations,Approved Document L is relevant to Solar panels building regulations.,related_project
/projects/solar-panels-building-regulations/,/approved-documents/b-fire-safety/,Approved Document B: Fire safety,Solar panels building regulations references Approved Document B.,contextual
/approved-documents/b-fire-safety/,/projects/solar-panels-building-regulations/,Solar panels building regulations,Approved Document B is relevant to Solar panels building regulations.,related_project
/,/projects/heat-pump-building-regulations/,Heat pump building regulations,Homepage should route into core project pages.,hub_card
/projects/heat-pump-building-regulations/,/tools/building-control-route-checker/,check your building control route,Project page should send user to route checker.,cta
/projects/heat-pump-building-regulations/,/downloads/,download a project checklist,Project page should send user to downloadable evidence assets.,cta
/projects/heat-pump-building-regulations/,/approved-documents/,related Approved Documents,Project page should link to Approved Document explanation layer.,contextual
/projects/heat-pump-building-regulations/,/approved-documents/l-conservation-fuel-power/,Approved Document L: Conservation of fuel and power,Heat pump building regulations references Approved Document L.,contextual
/approved-documents/l-conservation-fuel-power/,/projects/heat-pump-building-regulations/,Heat pump building regulations,Approved Document L is relevant to Heat pump building regulations.,related_project
/projects/heat-pump-building-regulations/,/approved-documents/p-electrical-safety/,Approved Document P: Electrical safety,Heat pump building regulations references Approved Document P.,contextual
/approved-documents/p-electrical-safety/,/projects/heat-pump-building-regulations/,Heat pump building regulations,Approved Document P is relevant to Heat pump building regulations.,related_project
/projects/heat-pump-building-regulations/,/approved-documents/f-ventilation/,Approved Document F: Ventilation,Heat pump building regulations references Approved Document F.,contextual
/approved-documents/f-ventilation/,/projects/heat-pump-building-regulations/,Heat pump building regulations,Approved Document F is relevant to Heat pump building regulations.,related_project
/projects/heat-pump-building-regulations/,/approved-documents/j-combustion-appliances/,Approved Document J: Combustion appliances and fuel storage,Heat pump building regulations references Approved Document J.,contextual
/approved-documents/j-combustion-appliances/,/projects/heat-pump-building-regulations/,Heat pump building regulations,Approved Document J is relevant to Heat pump building regulations.,related_project
/,/projects/garden-room-building-regulations/,Garden room building regulations,Homepage should route into core project pages.,hub_card
/projects/garden-room-building-regulations/,/tools/building-control-route-checker/,check your building control route,Project page should send user to route checker.,cta
/projects/garden-room-building-regulations/,/downloads/,download a project checklist,Project page should send user to downloadable evidence assets.,cta
/projects/garden-room-building-regulations/,/approved-documents/,related Approved Documents,Project page should link to Approved Document explanation layer.,contextual
/projects/garden-room-building-regulations/,/approved-documents/a-structure/,Approved Document A: Structure,Garden room building regulations references Approved Document A.,contextual
/approved-documents/a-structure/,/projects/garden-room-building-regulations/,Garden room building regulations,Approved Document A is relevant to Garden room building regulations.,related_project
/projects/garden-room-building-regulations/,/approved-documents/b-fire-safety/,Approved Document B: Fire safety,Garden room building regulations references Approved Document B.,contextual
/approved-documents/b-fire-safety/,/projects/garden-room-building-regulations/,Garden room building regulations,Approved Document B is relevant to Garden room building regulations.,related_project
/projects/garden-room-building-regulations/,/approved-documents/c-site-preparation-moisture/,"Approved Document C: Site preparation, contaminants and moisture",Garden room building regulations references Approved Document C.,contextual
/approved-documents/c-site-preparation-moisture/,/projects/garden-room-building-regulations/,Garden room building regulations,Approved Document C is relevant to Garden room building regulations.,related_project
/projects/garden-room-building-regulations/,/approved-documents/f-ventilation/,Approved Document F: Ventilation,Garden room building regulations references Approved Document F.,contextual
/approved-documents/f-ventilation/,/projects/garden-room-building-regulations/,Garden room building regulations,Approved Document F is relevant to Garden room building regulations.,related_project
/projects/garden-room-building-regulations/,/approved-documents/l-conservation-fuel-power/,Approved Document L: Conservation of fuel and power,Garden room building regulations references Approved Document L.,contextual
/approved-documents/l-conservation-fuel-power/,/projects/garden-room-building-regulations/,Garden room building regulations,Approved Document L is relevant to Garden room building regulations.,related_project
/projects/garden-room-building-regulations/,/approved-documents/p-electrical-safety/,Approved Document P: Electrical safety,Garden room building regulations references Approved Document P.,contextual
/approved-documents/p-electrical-safety/,/projects/garden-room-building-regulations/,Garden room building regulations,Approved Document P is relevant to Garden room building regulations.,related_project
/,/projects/outbuilding-building-regulations/,Outbuilding building regulations,Homepage should route into core project pages.,hub_card
/projects/outbuilding-building-regulations/,/tools/building-control-route-checker/,check your building control route,Project page should send user to route checker.,cta
/projects/outbuilding-building-regulations/,/downloads/,download a project checklist,Project page should send user to downloadable evidence assets.,cta
/projects/outbuilding-building-regulations/,/approved-documents/,related Approved Documents,Project page should link to Approved Document explanation layer.,contextual
/projects/outbuilding-building-regulations/,/approved-documents/a-structure/,Approved Document A: Structure,Outbuilding building regulations references Approved Document A.,contextual
/approved-documents/a-structure/,/projects/outbuilding-building-regulations/,Outbuilding building regulations,Approved Document A is relevant to Outbuilding building regulations.,related_project
/projects/outbuilding-building-regulations/,/approved-documents/b-fire-safety/,Approved Document B: Fire safety,Outbuilding building regulations references Approved Document B.,contextual
/approved-documents/b-fire-safety/,/projects/outbuilding-building-regulations/,Outbuilding building regulations,Approved Document B is relevant to Outbuilding building regulations.,related_project
/projects/outbuilding-building-regulations/,/approved-documents/c-site-preparation-moisture/,"Approved Document C: Site preparation, contaminants and moisture",Outbuilding building regulations references Approved Document C.,contextual
/approved-documents/c-site-preparation-moisture/,/projects/outbuilding-building-regulations/,Outbuilding building regulations,Approved Document C is relevant to Outbuilding building regulations.,related_project
/projects/outbuilding-building-regulations/,/approved-documents/p-electrical-safety/,Approved Document P: Electrical safety,Outbuilding building regulations references Approved Document P.,contextual
/approved-documents/p-electrical-safety/,/projects/outbuilding-building-regulations/,Outbuilding building regulations,Approved Document P is relevant to Outbuilding building regulations.,related_project
/projects/outbuilding-building-regulations/,/approved-documents/h-drainage-waste/,Approved Document H: Drainage and waste disposal,Outbuilding building regulations references Approved Document H.,contextual
/approved-documents/h-drainage-waste/,/projects/outbuilding-building-regulations/,Outbuilding building regulations,Approved Document H is relevant to Outbuilding building regulations.,related_project
/,/projects/basement-conversion-building-regulations/,Basement conversion building regulations,Homepage should route into core project pages.,hub_card
