project_id,project_title,project_slug,approved_document_part,approved_document_title,why_it_matters,certainty,source_primary
two_storey_extension,Two-storey extension building regulations,two-storey-extension-building-regulations,L,Approved Document L: Conservation of fuel and power,Conservation of fuel and power issues may arise in two-storey extension building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
two_storey_extension,Two-storey extension building regulations,two-storey-extension-building-regulations,M,Approved Document M: Access to and use of buildings,Access to and use of buildings issues may arise in two-storey extension building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
two_storey_extension,Two-storey extension building regulations,two-storey-extension-building-regulations,O,Approved Document O: Overheating,Overheating issues may arise in two-storey extension building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
loft_conversion,Loft conversion building regulations,loft-conversion-building-regulations,A,Approved Document A: Structure,Structure issues may arise in loft conversion building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
loft_conversion,Loft conversion building regulations,loft-conversion-building-regulations,B,Approved Document B: Fire safety,Fire safety issues may arise in loft conversion building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
loft_conversion,Loft conversion building regulations,loft-conversion-building-regulations,F,Approved Document F: Ventilation,Ventilation issues may arise in loft conversion building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
loft_conversion,Loft conversion building regulations,loft-conversion-building-regulations,K,"Approved Document K: Protection from falling, collision and impact","Protection from falling, collision and impact issues may arise in loft conversion building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
loft_conversion,Loft conversion building regulations,loft-conversion-building-regulations,L,Approved Document L: Conservation of fuel and power,Conservation of fuel and power issues may arise in loft conversion building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
loft_conversion,Loft conversion building regulations,loft-conversion-building-regulations,P,Approved Document P: Electrical safety,Electrical safety issues may arise in loft conversion building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
garage_conversion,Garage conversion building regulations,garage-conversion-building-regulations,A,Approved Document A: Structure,Structure issues may arise in garage conversion building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
garage_conversion,Garage conversion building regulations,garage-conversion-building-regulations,B,Approved Document B: Fire safety,Fire safety issues may arise in garage conversion building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
garage_conversion,Garage conversion building regulations,garage-conversion-building-regulations,C,"Approved Document C: Site preparation, contaminants and moisture","Site preparation, contaminants and moisture issues may arise in garage conversion building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
garage_conversion,Garage conversion building regulations,garage-conversion-building-regulations,F,Approved Document F: Ventilation,Ventilation issues may arise in garage conversion building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
garage_conversion,Garage conversion building regulations,garage-conversion-building-regulations,L,Approved Document L: Conservation of fuel and power,Conservation of fuel and power issues may arise in garage conversion building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
garage_conversion,Garage conversion building regulations,garage-conversion-building-regulations,P,Approved Document P: Electrical safety,Electrical safety issues may arise in garage conversion building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
garage_conversion,Garage conversion building regulations,garage-conversion-building-regulations,K,"Approved Document K: Protection from falling, collision and impact","Protection from falling, collision and impact issues may arise in garage conversion building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
removing_load_bearing_wall,Removing a load-bearing wall building regulations,removing-load-bearing-wall-building-regulations,A,Approved Document A: Structure,Structure issues may arise in removing a load-bearing wall building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
removing_load_bearing_wall,Removing a load-bearing wall building regulations,removing-load-bearing-wall-building-regulations,B,Approved Document B: Fire safety,Fire safety issues may arise in removing a load-bearing wall building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
removing_load_bearing_wall,Removing a load-bearing wall building regulations,removing-load-bearing-wall-building-regulations,K,"Approved Document K: Protection from falling, collision and impact","Protection from falling, collision and impact issues may arise in removing a load-bearing wall building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
chimney_breast_removal,Chimney breast removal building regulations,chimney-breast-removal-building-regulations,A,Approved Document A: Structure,Structure issues may arise in chimney breast removal building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
chimney_breast_removal,Chimney breast removal building regulations,chimney-breast-removal-building-regulations,B,Approved Document B: Fire safety,Fire safety issues may arise in chimney breast removal building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
chimney_breast_removal,Chimney breast removal building regulations,chimney-breast-removal-building-regulations,J,Approved Document J: Combustion appliances and fuel storage,Combustion appliances and fuel storage issues may arise in chimney breast removal building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
bathroom,Bathroom building regulations,bathroom-building-regulations,F,Approved Document F: Ventilation,Ventilation issues may arise in bathroom building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
bathroom,Bathroom building regulations,bathroom-building-regulations,G,"Approved Document G: Sanitation, hot water safety and water efficiency","Sanitation, hot water safety and water efficiency issues may arise in bathroom building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
bathroom,Bathroom building regulations,bathroom-building-regulations,H,Approved Document H: Drainage and waste disposal,Drainage and waste disposal issues may arise in bathroom building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
bathroom,Bathroom building regulations,bathroom-building-regulations,P,Approved Document P: Electrical safety,Electrical safety issues may arise in bathroom building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
bathroom,Bathroom building regulations,bathroom-building-regulations,K,"Approved Document K: Protection from falling, collision and impact","Protection from falling, collision and impact issues may arise in bathroom building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
kitchen,Kitchen building regulations,kitchen-building-regulations,F,Approved Document F: Ventilation,Ventilation issues may arise in kitchen building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
kitchen,Kitchen building regulations,kitchen-building-regulations,G,"Approved Document G: Sanitation, hot water safety and water efficiency","Sanitation, hot water safety and water efficiency issues may arise in kitchen building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
kitchen,Kitchen building regulations,kitchen-building-regulations,H,Approved Document H: Drainage and waste disposal,Drainage and waste disposal issues may arise in kitchen building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
kitchen,Kitchen building regulations,kitchen-building-regulations,P,Approved Document P: Electrical safety,Electrical safety issues may arise in kitchen building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
kitchen,Kitchen building regulations,kitchen-building-regulations,J,Approved Document J: Combustion appliances and fuel storage,Combustion appliances and fuel storage issues may arise in kitchen building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
kitchen,Kitchen building regulations,kitchen-building-regulations,L,Approved Document L: Conservation of fuel and power,Conservation of fuel and power issues may arise in kitchen building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
windows_doors,Replacement windows and doors building regulations,replacement-windows-doors-building-regulations,L,Approved Document L: Conservation of fuel and power,Conservation of fuel and power issues may arise in replacement windows and doors building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
windows_doors,Replacement windows and doors building regulations,replacement-windows-doors-building-regulations,K,"Approved Document K: Protection from falling, collision and impact","Protection from falling, collision and impact issues may arise in replacement windows and doors building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
windows_doors,Replacement windows and doors building regulations,replacement-windows-doors-building-regulations,B,Approved Document B: Fire safety,Fire safety issues may arise in replacement windows and doors building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
windows_doors,Replacement windows and doors building regulations,replacement-windows-doors-building-regulations,Q,Approved Document Q: Security in dwellings,Security in dwellings issues may arise in replacement windows and doors building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
windows_doors,Replacement windows and doors building regulations,replacement-windows-doors-building-regulations,F,Approved Document F: Ventilation,Ventilation issues may arise in replacement windows and doors building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
boiler_heating,Boiler and heating building regulations,boiler-heating-building-regulations,J,Approved Document J: Combustion appliances and fuel storage,Combustion appliances and fuel storage issues may arise in boiler and heating building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
boiler_heating,Boiler and heating building regulations,boiler-heating-building-regulations,L,Approved Document L: Conservation of fuel and power,Conservation of fuel and power issues may arise in boiler and heating building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
boiler_heating,Boiler and heating building regulations,boiler-heating-building-regulations,F,Approved Document F: Ventilation,Ventilation issues may arise in boiler and heating building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
boiler_heating,Boiler and heating building regulations,boiler-heating-building-regulations,P,Approved Document P: Electrical safety,Electrical safety issues may arise in boiler and heating building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
electrical_work,Electrical work building regulations,electrical-work-building-regulations,P,Approved Document P: Electrical safety,Electrical safety issues may arise in electrical work building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
electrical_work,Electrical work building regulations,electrical-work-building-regulations,L,Approved Document L: Conservation of fuel and power,Conservation of fuel and power issues may arise in electrical work building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
electrical_work,Electrical work building regulations,electrical-work-building-regulations,S,Approved Document S: Electric vehicle charging infrastructure,Electric vehicle charging infrastructure issues may arise in electrical work building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
solar_panels,Solar panels building regulations,solar-panels-building-regulations,A,Approved Document A: Structure,Structure issues may arise in solar panels building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
solar_panels,Solar panels building regulations,solar-panels-building-regulations,P,Approved Document P: Electrical safety,Electrical safety issues may arise in solar panels building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
solar_panels,Solar panels building regulations,solar-panels-building-regulations,L,Approved Document L: Conservation of fuel and power,Conservation of fuel and power issues may arise in solar panels building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
solar_panels,Solar panels building regulations,solar-panels-building-regulations,B,Approved Document B: Fire safety,Fire safety issues may arise in solar panels building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
heat_pump,Heat pump building regulations,heat-pump-building-regulations,L,Approved Document L: Conservation of fuel and power,Conservation of fuel and power issues may arise in heat pump building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
heat_pump,Heat pump building regulations,heat-pump-building-regulations,P,Approved Document P: Electrical safety,Electrical safety issues may arise in heat pump building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
heat_pump,Heat pump building regulations,heat-pump-building-regulations,F,Approved Document F: Ventilation,Ventilation issues may arise in heat pump building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
heat_pump,Heat pump building regulations,heat-pump-building-regulations,J,Approved Document J: Combustion appliances and fuel storage,Combustion appliances and fuel storage issues may arise in heat pump building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
garden_room,Garden room building regulations,garden-room-building-regulations,A,Approved Document A: Structure,Structure issues may arise in garden room building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
garden_room,Garden room building regulations,garden-room-building-regulations,B,Approved Document B: Fire safety,Fire safety issues may arise in garden room building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
garden_room,Garden room building regulations,garden-room-building-regulations,C,"Approved Document C: Site preparation, contaminants and moisture","Site preparation, contaminants and moisture issues may arise in garden room building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
garden_room,Garden room building regulations,garden-room-building-regulations,F,Approved Document F: Ventilation,Ventilation issues may arise in garden room building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
garden_room,Garden room building regulations,garden-room-building-regulations,L,Approved Document L: Conservation of fuel and power,Conservation of fuel and power issues may arise in garden room building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
garden_room,Garden room building regulations,garden-room-building-regulations,P,Approved Document P: Electrical safety,Electrical safety issues may arise in garden room building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
garden_room,Garden room building regulations,garden-room-building-regulations,H,Approved Document H: Drainage and waste disposal,Drainage and waste disposal issues may arise in garden room building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
outbuilding,Outbuilding building regulations,outbuilding-building-regulations,A,Approved Document A: Structure,Structure issues may arise in outbuilding building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
outbuilding,Outbuilding building regulations,outbuilding-building-regulations,B,Approved Document B: Fire safety,Fire safety issues may arise in outbuilding building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
outbuilding,Outbuilding building regulations,outbuilding-building-regulations,C,"Approved Document C: Site preparation, contaminants and moisture","Site preparation, contaminants and moisture issues may arise in outbuilding building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
outbuilding,Outbuilding building regulations,outbuilding-building-regulations,P,Approved Document P: Electrical safety,Electrical safety issues may arise in outbuilding building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
outbuilding,Outbuilding building regulations,outbuilding-building-regulations,H,Approved Document H: Drainage and waste disposal,Drainage and waste disposal issues may arise in outbuilding building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
basement,Basement conversion building regulations,basement-conversion-building-regulations,A,Approved Document A: Structure,Structure issues may arise in basement conversion building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
basement,Basement conversion building regulations,basement-conversion-building-regulations,B,Approved Document B: Fire safety,Fire safety issues may arise in basement conversion building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
basement,Basement conversion building regulations,basement-conversion-building-regulations,C,"Approved Document C: Site preparation, contaminants and moisture","Site preparation, contaminants and moisture issues may arise in basement conversion building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
basement,Basement conversion building regulations,basement-conversion-building-regulations,F,Approved Document F: Ventilation,Ventilation issues may arise in basement conversion building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
basement,Basement conversion building regulations,basement-conversion-building-regulations,H,Approved Document H: Drainage and waste disposal,Drainage and waste disposal issues may arise in basement conversion building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
basement,Basement conversion building regulations,basement-conversion-building-regulations,K,"Approved Document K: Protection from falling, collision and impact","Protection from falling, collision and impact issues may arise in basement conversion building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
basement,Basement conversion building regulations,basement-conversion-building-regulations,L,Approved Document L: Conservation of fuel and power,Conservation of fuel and power issues may arise in basement conversion building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
basement,Basement conversion building regulations,basement-conversion-building-regulations,P,Approved Document P: Electrical safety,Electrical safety issues may arise in basement conversion building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
underpinning,Underpinning building regulations,underpinning-building-regulations,A,Approved Document A: Structure,Structure issues may arise in underpinning building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
underpinning,Underpinning building regulations,underpinning-building-regulations,C,"Approved Document C: Site preparation, contaminants and moisture","Site preparation, contaminants and moisture issues may arise in underpinning building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
rooflights,Rooflights building regulations,rooflights-building-regulations,A,Approved Document A: Structure,Structure issues may arise in rooflights building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
rooflights,Rooflights building regulations,rooflights-building-regulations,B,Approved Document B: Fire safety,Fire safety issues may arise in rooflights building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
rooflights,Rooflights building regulations,rooflights-building-regulations,K,"Approved Document K: Protection from falling, collision and impact","Protection from falling, collision and impact issues may arise in rooflights building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
rooflights,Rooflights building regulations,rooflights-building-regulations,L,Approved Document L: Conservation of fuel and power,Conservation of fuel and power issues may arise in rooflights building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
rooflights,Rooflights building regulations,rooflights-building-regulations,F,Approved Document F: Ventilation,Ventilation issues may arise in rooflights building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
roof_alterations,Roof alterations building regulations,roof-alterations-building-regulations,A,Approved Document A: Structure,Structure issues may arise in roof alterations building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
roof_alterations,Roof alterations building regulations,roof-alterations-building-regulations,B,Approved Document B: Fire safety,Fire safety issues may arise in roof alterations building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
roof_alterations,Roof alterations building regulations,roof-alterations-building-regulations,K,"Approved Document K: Protection from falling, collision and impact","Protection from falling, collision and impact issues may arise in roof alterations building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
roof_alterations,Roof alterations building regulations,roof-alterations-building-regulations,L,Approved Document L: Conservation of fuel and power,Conservation of fuel and power issues may arise in roof alterations building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
driveway_drainage,Driveway drainage building regulations,driveway-drainage-building-regulations,H,Approved Document H: Drainage and waste disposal,Drainage and waste disposal issues may arise in driveway drainage building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
driveway_drainage,Driveway drainage building regulations,driveway-drainage-building-regulations,C,"Approved Document C: Site preparation, contaminants and moisture","Site preparation, contaminants and moisture issues may arise in driveway drainage building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
insulation,Insulation upgrades building regulations,insulation-upgrades-building-regulations,L,Approved Document L: Conservation of fuel and power,Conservation of fuel and power issues may arise in insulation upgrades building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
insulation,Insulation upgrades building regulations,insulation-upgrades-building-regulations,C,"Approved Document C: Site preparation, contaminants and moisture","Site preparation, contaminants and moisture issues may arise in insulation upgrades building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
insulation,Insulation upgrades building regulations,insulation-upgrades-building-regulations,F,Approved Document F: Ventilation,Ventilation issues may arise in insulation upgrades building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
insulation,Insulation upgrades building regulations,insulation-upgrades-building-regulations,B,Approved Document B: Fire safety,Fire safety issues may arise in insulation upgrades building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
porch,Porch building regulations,porch-building-regulations,A,Approved Document A: Structure,Structure issues may arise in porch building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
porch,Porch building regulations,porch-building-regulations,C,"Approved Document C: Site preparation, contaminants and moisture","Site preparation, contaminants and moisture issues may arise in porch building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
porch,Porch building regulations,porch-building-regulations,L,Approved Document L: Conservation of fuel and power,Conservation of fuel and power issues may arise in porch building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
porch,Porch building regulations,porch-building-regulations,K,"Approved Document K: Protection from falling, collision and impact","Protection from falling, collision and impact issues may arise in porch building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
porch,Porch building regulations,porch-building-regulations,P,Approved Document P: Electrical safety,Electrical safety issues may arise in porch building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
flat_alterations,Flat alterations building regulations,flat-alterations-building-regulations,A,Approved Document A: Structure,Structure issues may arise in flat alterations building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
flat_alterations,Flat alterations building regulations,flat-alterations-building-regulations,B,Approved Document B: Fire safety,Fire safety issues may arise in flat alterations building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
flat_alterations,Flat alterations building regulations,flat-alterations-building-regulations,E,Approved Document E: Resistance to sound,Resistance to sound issues may arise in flat alterations building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
flat_alterations,Flat alterations building regulations,flat-alterations-building-regulations,F,Approved Document F: Ventilation,Ventilation issues may arise in flat alterations building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
flat_alterations,Flat alterations building regulations,flat-alterations-building-regulations,G,"Approved Document G: Sanitation, hot water safety and water efficiency","Sanitation, hot water safety and water efficiency issues may arise in flat alterations building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
flat_alterations,Flat alterations building regulations,flat-alterations-building-regulations,H,Approved Document H: Drainage and waste disposal,Drainage and waste disposal issues may arise in flat alterations building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
flat_alterations,Flat alterations building regulations,flat-alterations-building-regulations,K,"Approved Document K: Protection from falling, collision and impact","Protection from falling, collision and impact issues may arise in flat alterations building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
flat_alterations,Flat alterations building regulations,flat-alterations-building-regulations,L,Approved Document L: Conservation of fuel and power,Conservation of fuel and power issues may arise in flat alterations building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
flat_alterations,Flat alterations building regulations,flat-alterations-building-regulations,M,Approved Document M: Access to and use of buildings,Access to and use of buildings issues may arise in flat alterations building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
flat_alterations,Flat alterations building regulations,flat-alterations-building-regulations,P,Approved Document P: Electrical safety,Electrical safety issues may arise in flat alterations building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
new_dwelling_conversion,Creating a new dwelling building regulations,creating-new-dwelling-building-regulations,A,Approved Document A: Structure,Structure issues may arise in creating a new dwelling building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
new_dwelling_conversion,Creating a new dwelling building regulations,creating-new-dwelling-building-regulations,B,Approved Document B: Fire safety,Fire safety issues may arise in creating a new dwelling building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
new_dwelling_conversion,Creating a new dwelling building regulations,creating-new-dwelling-building-regulations,C,"Approved Document C: Site preparation, contaminants and moisture","Site preparation, contaminants and moisture issues may arise in creating a new dwelling building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
new_dwelling_conversion,Creating a new dwelling building regulations,creating-new-dwelling-building-regulations,E,Approved Document E: Resistance to sound,Resistance to sound issues may arise in creating a new dwelling building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
new_dwelling_conversion,Creating a new dwelling building regulations,creating-new-dwelling-building-regulations,F,Approved Document F: Ventilation,Ventilation issues may arise in creating a new dwelling building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
new_dwelling_conversion,Creating a new dwelling building regulations,creating-new-dwelling-building-regulations,G,"Approved Document G: Sanitation, hot water safety and water efficiency","Sanitation, hot water safety and water efficiency issues may arise in creating a new dwelling building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
new_dwelling_conversion,Creating a new dwelling building regulations,creating-new-dwelling-building-regulations,H,Approved Document H: Drainage and waste disposal,Drainage and waste disposal issues may arise in creating a new dwelling building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
new_dwelling_conversion,Creating a new dwelling building regulations,creating-new-dwelling-building-regulations,K,"Approved Document K: Protection from falling, collision and impact","Protection from falling, collision and impact issues may arise in creating a new dwelling building regulations depending on design and scope.",likely_not_absolute,govuk_approved_documents_collection
new_dwelling_conversion,Creating a new dwelling building regulations,creating-new-dwelling-building-regulations,L,Approved Document L: Conservation of fuel and power,Conservation of fuel and power issues may arise in creating a new dwelling building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
new_dwelling_conversion,Creating a new dwelling building regulations,creating-new-dwelling-building-regulations,M,Approved Document M: Access to and use of buildings,Access to and use of buildings issues may arise in creating a new dwelling building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
new_dwelling_conversion,Creating a new dwelling building regulations,creating-new-dwelling-building-regulations,O,Approved Document O: Overheating,Overheating issues may arise in creating a new dwelling building regulations depending on design and scope.,likely_not_absolute,govuk_approved_documents_collection
