asset_id,title,category,category_label,primary_project,url,format_target,lead_value,requires_tool_input,source_guardrail,purpose
load-bearing-wall-removal-evidence-checklist,Load-bearing wall removal evidence checklist,project_specific,Project-specific checklists,Structural alterations,/downloads/load-bearing-wall-removal-evidence-checklist/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Strong high-intent lead magnet.
chimney-breast-removal-checklist,Chimney breast removal checklist,project_specific,Project-specific checklists,Chimney breast removal,/downloads/chimney-breast-removal-checklist/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,High-risk project long-tail.
new-bathroom-and-ensuite-regs-checklist,New bathroom and ensuite regs checklist,project_specific,Project-specific checklists,Bathrooms,/downloads/new-bathroom-and-ensuite-regs-checklist/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Accessible homeowner pack.
kitchen-building-regs-and-ventilation-checklist,Kitchen building regs and ventilation checklist,project_specific,Project-specific checklists,Kitchens,/downloads/kitchen-building-regs-and-ventilation-checklist/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Useful for renovations.
windows-and-doors-certificate-checklist,Windows and doors certificate checklist,project_specific,Project-specific checklists,Windows and doors,/downloads/windows-and-doors-certificate-checklist/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Good search-intent fit.
rooflight-building-regs-checklist,Rooflight building regs checklist,project_specific,Project-specific checklists,Rooflights,/downloads/rooflight-building-regs-checklist/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Low-volume but conversion-friendly.
garden-room-building-regs-risk-checklist,Garden room building regs risk checklist,project_specific,Project-specific checklists,Garden rooms,/downloads/garden-room-building-regs-risk-checklist/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Pairs with UKPlanningGuide outbuilding content.
solar-panel-building-regs-and-roof-checklist,Solar panel building regs and roof checklist,project_specific,Project-specific checklists,Solar panels,/downloads/solar-panel-building-regs-and-roof-checklist/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Future energy content route.
heat-pump-installation-paperwork-checklist,Heat pump installation paperwork checklist,project_specific,Project-specific checklists,Heat pumps,/downloads/heat-pump-installation-paperwork-checklist/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Future Homes/FHS-adjacent asset.
completion-certificate-evidence-folder,Completion certificate evidence folder,evidence,Evidence and certificate trackers,All controlled projects,/downloads/completion-certificate-evidence-folder/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Core retention asset.
competent-person-certificate-tracker,Competent person certificate tracker,evidence,Evidence and certificate trackers,Installer self-certification,/downloads/competent-person-certificate-tracker/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Pairs with competent person tool.
project-photo-evidence-log,Project photo evidence log,evidence,Evidence and certificate trackers,All projects,/downloads/project-photo-evidence-log/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Encourages repeat use throughout project.
building-control-contact-log,Building control contact log,evidence,Evidence and certificate trackers,All projects,/downloads/building-control-contact-log/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Practical record keeper.
builder-document-request-list,Builder document request list,evidence,Evidence and certificate trackers,All projects,/downloads/builder-document-request-list/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Keeps user returning.
structural-calculation-record-sheet,Structural calculation record sheet,evidence,Evidence and certificate trackers,Structural projects,/downloads/structural-calculation-record-sheet/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Project evidence sheet.
energy-and-ventilation-evidence-folder,Energy and ventilation evidence folder,evidence,Evidence and certificate trackers,Part L and Part F projects,/downloads/energy-and-ventilation-evidence-folder/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,Version-aware energy asset.
regularisation-evidence-gatherer,Regularisation evidence gatherer,evidence,Evidence and certificate trackers,Retrospective work,/downloads/regularisation-evidence-gatherer/,html_printable_then_pdf_optional,high,yes,show official source and generated-date panel,"High-anxiety, high-intent asset."
inspection-stage-checklist,Building control inspection-stage checklist,inspection,Inspection-stage printables,All controlled projects,/downloads/inspection-stage-checklist/,html_printable_then_pdf_optional,medium,yes,show official source and generated-date panel,Pairs with inspection tool.
foundation-inspection-prep-sheet,Foundation inspection prep sheet,inspection,Inspection-stage printables,Extensions and structural work,/downloads/foundation-inspection-prep-sheet/,html_printable_then_pdf_optional,medium,yes,show official source and generated-date panel,Printable on-site checklist.
drainage-inspection-prep-sheet,Drainage inspection prep sheet,inspection,Inspection-stage printables,Drainage work,/downloads/drainage-inspection-prep-sheet/,html_printable_then_pdf_optional,medium,yes,show official source and generated-date panel,Useful on-site asset.
insulation-before-cover-up-checklist,Insulation before-cover-up checklist,inspection,Inspection-stage printables,Thermal work,/downloads/insulation-before-cover-up-checklist/,html_printable_then_pdf_optional,medium,yes,show official source and generated-date panel,Prevents missed evidence.
fire-safety-before-completion-checklist,Fire safety before-completion checklist,inspection,Inspection-stage printables,"Lofts, garages, flats",/downloads/fire-safety-before-completion-checklist/,html_printable_then_pdf_optional,medium,yes,show official source and generated-date panel,High-value safety asset.
final-completion-walkthrough,Final completion walkthrough,inspection,Inspection-stage printables,All controlled projects,/downloads/final-completion-walkthrough/,html_printable_then_pdf_optional,medium,yes,show official source and generated-date panel,End-of-project retention asset.
approved-document-router-printout,Approved Document router printout,approved_documents,Approved Document quick packs,All projects,/downloads/approved-document-router-printout/,html_printable_then_pdf_optional,medium,yes,show official source and generated-date panel,Printable result from AD router.
approved-document-a-structure-homeowner-pack,Approved Document A structure homeowner pack,approved_documents,Approved Document quick packs,Structural work,/downloads/approved-document-a-structure-homeowner-pack/,html_printable_then_pdf_optional,medium,yes,show official source and generated-date panel,Part-specific asset.
approved-document-b-fire-safety-homeowner-pack,Approved Document B fire safety homeowner pack,approved_documents,Approved Document quick packs,Fire-sensitive projects,/downloads/approved-document-b-fire-safety-homeowner-pack/,html_printable_then_pdf_optional,medium,yes,show official source and generated-date panel,Part-specific asset.
approved-document-f-ventilation-homeowner-pack,Approved Document F ventilation homeowner pack,approved_documents,Approved Document quick packs,Ventilation work,/downloads/approved-document-f-ventilation-homeowner-pack/,html_printable_then_pdf_optional,medium,yes,show official source and generated-date panel,Part-specific asset.
approved-document-l-energy-homeowner-pack,Approved Document L energy homeowner pack,approved_documents,Approved Document quick packs,Energy-related work,/downloads/approved-document-l-energy-homeowner-pack/,html_printable_then_pdf_optional,medium,yes,show official source and generated-date panel,Part-specific asset.
approved-document-p-electrical-homeowner-pack,Approved Document P electrical homeowner pack,approved_documents,Approved Document quick packs,Electrical work,/downloads/approved-document-p-electrical-homeowner-pack/,html_printable_then_pdf_optional,medium,yes,show official source and generated-date panel,Part-specific asset.
installer-quote-building-regs-questions,Installer quote building regs questions,installer,Installer and competent-person forms,Getting quotes,/downloads/installer-quote-building-regs-questions/,html_printable_then_pdf_optional,medium,optional,show official source and generated-date panel,Good pre-conversion asset.
registered-installer-confirmation-form,Registered installer confirmation form,installer,Installer and competent-person forms,Competent person work,/downloads/registered-installer-confirmation-form/,html_printable_then_pdf_optional,medium,optional,show official source and generated-date panel,Good evidence asset.
electrician-part-p-certificate-request,Electrician Part P certificate request,installer,Installer and competent-person forms,Electrical work,/downloads/electrician-part-p-certificate-request/,html_printable_then_pdf_optional,medium,optional,show official source and generated-date panel,Practical homeowner template.
gas-boiler-paperwork-request,Gas boiler paperwork request,installer,Installer and competent-person forms,Boilers and heating,/downloads/gas-boiler-paperwork-request/,html_printable_then_pdf_optional,medium,optional,show official source and generated-date panel,Practical homeowner template.
home-sale-building-regs-document-pack,Home sale building regs document pack,sale_and_handover,"Sale, handover and record-keeping packs",Selling a home,/downloads/home-sale-building-regs-document-pack/,html_printable_then_pdf_optional,medium,optional,show official source and generated-date panel,Future monetisation/affiliate route later.
buyer-questions-building-regs-pack,Buyer questions building regs pack,sale_and_handover,"Sale, handover and record-keeping packs",Buying a home,/downloads/buyer-questions-building-regs-pack/,html_printable_then_pdf_optional,medium,optional,show official source and generated-date panel,Future search cluster.
landlord-building-regs-record-pack,Landlord building regs record pack,sale_and_handover,"Sale, handover and record-keeping packs",Rental property works,/downloads/landlord-building-regs-record-pack/,html_printable_then_pdf_optional,medium,optional,show official source and generated-date panel,Future B2B/B2C route.
homeowner-handover-file-index,Homeowner handover file index,sale_and_handover,"Sale, handover and record-keeping packs",All projects,/downloads/homeowner-handover-file-index/,html_printable_then_pdf_optional,medium,optional,show official source and generated-date panel,Core saved-dashboard output.
