path,title,family,priority,primary_source_id,publish_state,gate
/projects/structural-alteration-building-regulations/,Structural alteration building regulations,project,high,govuk_approved_documents_collection,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/projects/removing-load-bearing-wall-building-regulations/,Removing a load-bearing wall building regulations,project,high,govuk_approved_documents_collection,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/projects/windows-doors-building-regulations/,Windows and doors building regulations,project,high,govuk_use_competent_person,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/projects/electrical-work-building-regulations/,Electrical work building regulations,project,high,govuk_use_competent_person,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/projects/boiler-heating-building-regulations/,Boiler and heating building regulations,project,high,govuk_use_competent_person,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/projects/drainage-waste-building-regulations/,Drainage and waste building regulations,project,high,govuk_approved_documents_collection,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/approved-documents/approved-document-a-structure/,Approved Document A: Structure,approved_document,high,govuk_approved_documents_collection,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/approved-documents/approved-document-b-fire-safety/,Approved Document B: Fire safety,approved_document,high,govuk_approved_documents_collection,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/approved-documents/approved-document-f-ventilation/,Approved Document F: Ventilation,approved_document,high,govuk_approved_document_f_2026,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/approved-documents/approved-document-h-drainage-waste/,Approved Document H: Drainage and waste disposal,approved_document,high,govuk_approved_documents_collection,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/approved-documents/approved-document-k-falling-collision-impact/,"Approved Document K: Protection from falling, collision and impact",approved_document,high,govuk_approved_documents_collection,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/approved-documents/approved-document-l-conservation-fuel-power/,Approved Document L: Conservation of fuel and power,approved_document,high,govuk_approved_document_l_2026,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/approved-documents/approved-document-p-electrical-safety/,Approved Document P: Electrical safety - dwellings,approved_document,high,govuk_approved_documents_collection,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/tools/building-control-route-checker/,Building Control Route Checker,tool,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/tools/full-plans-vs-building-notice-checker/,Full Plans vs Building Notice Checker,tool,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/tools/competent-person-scheme-checker/,Competent Person Scheme Checker,tool,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/tools/completion-certificate-readiness-checker/,Completion Certificate Readiness Checker,tool,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/tools/inspection-stage-checklist-generator/,Inspection Stage Checklist Generator,tool,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/tools/approved-document-router/,Approved Document Router,tool,high,govuk_how_to_apply,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/tools/extension-regs-prep-pack/,Extension Building Regs Prep Pack,tool,high,govuk_how_to_apply,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/tools/loft-fire-safety-prep-checker/,Loft Fire Safety Prep Checker,tool,high,govuk_how_to_apply,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/tools/garage-conversion-regs-checker/,Garage Conversion Building Regs Checker,tool,high,govuk_how_to_apply,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/tools/structural-alteration-readiness-checker/,Structural Alteration Readiness Checker,tool,high,govuk_how_to_apply,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/tools/drainage-waste-route-checker/,Drainage and Waste Route Checker,tool,medium,govuk_how_to_apply,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/tools/windows-doors-certificate-checker/,Windows and Doors Certificate Checker,tool,medium,govuk_how_to_apply,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/tools/electrical-work-notifiable-checker/,Electrical Work Notifiable Checker,tool,medium,govuk_how_to_apply,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/tools/heating-boiler-evidence-checker/,Heating and Boiler Evidence Checker,tool,medium,govuk_how_to_apply,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/tools/regularisation-risk-triage/,Regularisation Risk Triage,tool,medium,govuk_how_to_apply,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/tools/sale-remortgage-evidence-pack-builder/,Sale or Remortgage Evidence Pack Builder,tool,medium,govuk_how_to_apply,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/tools/jurisdiction-route-selector/,"England, Wales or Scotland Route Selector",tool,medium,govuk_how_to_apply,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/extension-building-regulations-checklist/,Extension building regulations checklist,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/loft-conversion-building-regulations-checklist/,Loft conversion building regulations checklist,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/garage-conversion-building-regulations-checklist/,Garage conversion building regulations checklist,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/building-notice-vs-full-plans-worksheet/,Building notice vs full plans worksheet,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/completion-certificate-record-sheet/,Completion certificate record sheet,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/competent-person-certificate-checklist/,Competent person certificate checklist,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/inspection-stage-record-sheet/,Inspection stage record sheet,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/structural-calculations-briefing-sheet/,Structural calculations briefing sheet,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/drainage-and-waste-checklist/,Drainage and waste checklist,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/windows-and-doors-certificate-checklist/,Windows and doors certificate checklist,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/electrical-work-evidence-checklist/,Electrical work evidence checklist,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/heating-boiler-certificate-checklist/,Heating and boiler certificate checklist,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/regularisation-evidence-pack/,Regularisation evidence pack,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/approved-document-router-summary/,Approved Document router summary,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/building-control-phone-call-script/,Building control phone call script,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/builder-quote-building-regs-questions/,Builder quote building regs questions,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/sale-remortgage-proof-folder/,Sale/remortgage building regs proof folder,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/garden-room-building-regs-checklist/,Garden room building regs checklist,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/load-bearing-wall-removal-checklist/,Load-bearing wall removal checklist,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/downloads/rooflight-building-regs-checklist/,Rooflight building regs checklist,download,high,govuk_building_regs_approval,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/approved-documents/a-structure/,Approved Document A: Structure,approved_document_hub,high,govuk_approved_documents_collection,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
/approved-documents/b-fire-safety/,Approved Document B: Fire safety,approved_document_hub,high,govuk_approved_documents_collection,launch_candidate,"must pass source panel, internal links, schema, body completeness and no-thin-page checks"
