id,phase,group,title,priority,codex_instruction,inputs,done_when,depends_on
BRG-018,P3,Downloads and dashboard,Implement no-login project dashboard,high,"LocalStorage saved projects, saved tool results, checklist status and evidence folder index.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-019,P3,Downloads and dashboard,Add download recommendation engine,high,Recommend 2-4 assets per page/tool result without clutter.,buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-020,P3,Downloads and dashboard,Add evidence tracker screens,high,"Let users track photos, installer certificates, structural calcs, inspection dates and completion certificate.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-021,P3,Downloads and dashboard,Add privacy copy for local-only storage,high,Explain that project data is stored on the user device unless future account features are added.,buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-022,P4,SEO and publishing gates,Implement no-thin-page gate,high,"Candidate routes remain draft/noindex until source, body, FAQs, internal links and schema pass.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-023,P4,SEO and publishing gates,Implement schema factory,high,"Generate WebPage, BreadcrumbList, FAQPage, HowTo where appropriate, and avoid fake review/rating schema.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-024,P4,SEO and publishing gates,Implement sitemap generator,high,"Only include published indexable pages; exclude drafts, noindex candidates and utility-only pages.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-025,P4,SEO and publishing gates,Implement internal-link graph,high,Use hub/spoke and contextual links from batch 5 with limits per section.,buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-026,P4,SEO and publishing gates,Implement search index generator,high,"Title, summary, family, project type, jurisdiction, route path and tool/download tags.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-027,P4,SEO and publishing gates,Add source freshness gate,high,Warn or block publishing when a source is missing version/checked_date for sensitive pages.,buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-028,P5,Pre-launch QA and deploy,Run route validation,launch,"No duplicate slugs, canonical conflicts, broken internal links or missing source panels.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-029,P5,Pre-launch QA and deploy,Run tool result audits,launch,"Each tool must produce sources, warnings, next steps and downloadable/checklist CTAs.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-030,P5,Pre-launch QA and deploy,Run accessibility pass,launch,"Keyboard navigation, contrast, visible focus, form labels, error states and print view.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-031,P5,Pre-launch QA and deploy,Run performance pass,launch,"Static-first, minimal JS, lazy non-critical assets, no heavy trackers before launch.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-032,P5,Pre-launch QA and deploy,Deploy staging,launch,Use preview domain; run smoke tests; fix before production.,buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
BRG-033,P5,Pre-launch QA and deploy,Deploy production and submit sitemap,launch,"Add Search Console, analytics events and 30-day observation routine.",buildingregsguide_batch_06 data registries; official source snapshot; existing scaffold patterns,"Implemented, validated, linked from relevant hub pages, and covered by launchQualityGate where applicable.",previous phase
