batch_status,canonical_domain,family,jurisdiction,meta_description,meta_title,needs_cross_site_handoff,needs_official_source_block,path,primary_source_id,priority,slug,source_category,summary,title
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Glazing, safety, thermal performance, ventilation and certificate evidence.",Windows and doors building regulations,True,True,/projects/windows-doors-building-regulations/,govuk_use_competent_person,high,windows-and-doors,competent_person_scheme,"Glazing, safety, thermal performance, ventilation and certificate evidence.",Windows and doors building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,Notifiable electrical work and evidence routes for dwellings.,Electrical work building regulations,True,True,/projects/electrical-work-building-regulations/,govuk_use_competent_person,high,electrical-work,competent_person_scheme,Notifiable electrical work and evidence routes for dwellings.,Electrical work building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Heating work, combustion appliances, competent person route and certificate evidence.",Boiler and heating building regulations,True,True,/projects/boiler-heating-building-regulations/,govuk_use_competent_person,high,boilers-heating,competent_person_scheme,"Heating work, combustion appliances, competent person route and certificate evidence.",Boiler and heating building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Building regulations evidence, heating, electrics and planning-side handoff for heat pumps.",Heat pump building regulations,True,True,/projects/heat-pump-building-regulations/,govuk_use_competent_person,medium,heat-pumps,competent_person_scheme,"Building regulations evidence, heating, electrics and planning-side handoff for heat pumps.",Heat pump building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Electrical, structure, roof loading and evidence questions for solar panel installations.",Solar panel building regulations,True,True,/projects/solar-panel-building-regulations/,govuk_use_competent_person,medium,solar-panels,competent_person_scheme,"Electrical, structure, roof loading and evidence questions for solar panel installations.",Solar panel building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Drainage runs, new bathrooms, kitchens, extensions and soakaway/connection questions.",Drainage and waste building regulations,True,True,/projects/drainage-waste-building-regulations/,govuk_approved_documents_collection,high,drainage-and-waste,approved_documents,"Drainage runs, new bathrooms, kitchens, extensions and soakaway/connection questions.",Drainage and waste building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Drainage, ventilation, electrics, structural and completion evidence checks.",Bathroom building regulations,True,True,/projects/bathroom-building-regulations/,govuk_approved_documents_collection,medium,bathrooms,approved_documents,"Drainage, ventilation, electrics, structural and completion evidence checks.",Bathroom building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Ventilation, electrics, drainage, structural changes and certificates for kitchen projects.",Kitchen building regulations,True,True,/projects/kitchen-building-regulations/,govuk_approved_documents_collection,medium,kitchens,approved_documents,"Ventilation, electrics, drainage, structural changes and certificates for kitchen projects.",Kitchen building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Thermal work, ventilation risk and when a wider project changes the route.",Insulation building regulations,True,True,/projects/insulation-building-regulations/,govuk_approved_document_l_2026,medium,insulation,approved_documents,"Thermal work, ventilation risk and when a wider project changes the route.",Insulation building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,Drainage and water management checks for hard surfaces and cross-over planning handoffs.,Driveway drainage building regulations,True,True,/projects/driveway-drainage-building-regulations/,govuk_approved_documents_collection,medium,driveways-drainage,approved_documents,Drainage and water management checks for hard surfaces and cross-over planning handoffs.,Driveway drainage building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Structure, moisture, ventilation, fire and drainage checks for basement conversions.",Basement conversion building regulations,True,True,/projects/basement-conversion-building-regulations/,govuk_approved_documents_collection,medium,basements,approved_documents,"Structure, moisture, ventilation, fire and drainage checks for basement conversions.",Basement conversion building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Structural, party wall and inspection evidence checks for underpinning work.",Underpinning building regulations,True,True,/projects/underpinning-building-regulations/,govuk_approved_documents_collection,medium,underpinning,approved_documents,"Structural, party wall and inspection evidence checks for underpinning work.",Underpinning building regulations
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document A: Structure and which project pages should link to it.,Approved Document A: Structure,False,True,/approved-documents/approved-document-a-structure/,govuk_approved_documents_collection,high,approved-document-a-structure,approved_documents,Homeowner-focused explanation of Approved Document A: Structure and which project pages should link to it.,Approved Document A: Structure
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document B: Fire safety and which project pages should link to it.,Approved Document B: Fire safety,False,True,/approved-documents/approved-document-b-fire-safety/,govuk_approved_documents_collection,high,approved-document-b-fire-safety,approved_documents,Homeowner-focused explanation of Approved Document B: Fire safety and which project pages should link to it.,Approved Document B: Fire safety
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document C: Site preparation and resistance to contaminants and moisture and which project pages should link to i,Approved Document C: Site preparation and resistance to co,False,True,/approved-documents/approved-document-c-site-preparation-moisture/,govuk_approved_documents_collection,medium,approved-document-c-site-preparation-moisture,approved_documents,Homeowner-focused explanation of Approved Document C: Site preparation and resistance to contaminants and moisture and which project pages should link to it.,Approved Document C: Site preparation and resistance to contaminants and moisture
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document E: Resistance to sound and which project pages should link to it.,Approved Document E: Resistance to sound,False,True,/approved-documents/approved-document-e-sound/,govuk_approved_documents_collection,medium,approved-document-e-sound,approved_documents,Homeowner-focused explanation of Approved Document E: Resistance to sound and which project pages should link to it.,Approved Document E: Resistance to sound
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document F: Ventilation and which project pages should link to it.,Approved Document F: Ventilation,False,True,/approved-documents/approved-document-f-ventilation/,govuk_approved_document_f_2026,high,approved-document-f-ventilation,approved_documents,Homeowner-focused explanation of Approved Document F: Ventilation and which project pages should link to it.,Approved Document F: Ventilation
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,"Homeowner-focused explanation of Approved Document G: Sanitation, hot water safety and water efficiency and which project pages should link to it.","Approved Document G: Sanitation, hot water safety and wate",False,True,/approved-documents/approved-document-g-sanitation-hot-water-water-efficiency/,govuk_approved_documents_collection,medium,approved-document-g-sanitation-hot-water-water-efficiency,approved_documents,"Homeowner-focused explanation of Approved Document G: Sanitation, hot water safety and water efficiency and which project pages should link to it.","Approved Document G: Sanitation, hot water safety and water efficiency"
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document H: Drainage and waste disposal and which project pages should link to it.,Approved Document H: Drainage and waste disposal,False,True,/approved-documents/approved-document-h-drainage-waste/,govuk_approved_documents_collection,high,approved-document-h-drainage-waste,approved_documents,Homeowner-focused explanation of Approved Document H: Drainage and waste disposal and which project pages should link to it.,Approved Document H: Drainage and waste disposal
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document J: Combustion appliances and fuel storage systems and which project pages should link to it.,Approved Document J: Combustion appliances and fuel storag,False,True,/approved-documents/approved-document-j-combustion-appliances/,govuk_approved_documents_collection,medium,approved-document-j-combustion-appliances,approved_documents,Homeowner-focused explanation of Approved Document J: Combustion appliances and fuel storage systems and which project pages should link to it.,Approved Document J: Combustion appliances and fuel storage systems
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,"Homeowner-focused explanation of Approved Document K: Protection from falling, collision and impact and which project pages should link to it.","Approved Document K: Protection from falling, collision an",False,True,/approved-documents/approved-document-k-falling-collision-impact/,govuk_approved_documents_collection,high,approved-document-k-falling-collision-impact,approved_documents,"Homeowner-focused explanation of Approved Document K: Protection from falling, collision and impact and which project pages should link to it.","Approved Document K: Protection from falling, collision and impact"
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document L: Conservation of fuel and power and which project pages should link to it.,Approved Document L: Conservation of fuel and power,False,True,/approved-documents/approved-document-l-conservation-fuel-power/,govuk_approved_document_l_2026,high,approved-document-l-conservation-fuel-power,approved_documents,Homeowner-focused explanation of Approved Document L: Conservation of fuel and power and which project pages should link to it.,Approved Document L: Conservation of fuel and power
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document M: Access to and use of buildings and which project pages should link to it.,Approved Document M: Access to and use of buildings,False,True,/approved-documents/approved-document-m-access/,govuk_approved_documents_collection,medium,approved-document-m-access,approved_documents,Homeowner-focused explanation of Approved Document M: Access to and use of buildings and which project pages should link to it.,Approved Document M: Access to and use of buildings
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document O: Overheating and which project pages should link to it.,Approved Document O: Overheating,False,True,/approved-documents/approved-document-o-overheating/,govuk_approved_documents_collection,medium,approved-document-o-overheating,approved_documents,Homeowner-focused explanation of Approved Document O: Overheating and which project pages should link to it.,Approved Document O: Overheating
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document P: Electrical safety - dwellings and which project pages should link to it.,Approved Document P: Electrical safety - dwellings,False,True,/approved-documents/approved-document-p-electrical-safety/,govuk_approved_documents_collection,high,approved-document-p-electrical-safety,approved_documents,Homeowner-focused explanation of Approved Document P: Electrical safety - dwellings and which project pages should link to it.,Approved Document P: Electrical safety - dwellings
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document Q: Security - dwellings and which project pages should link to it.,Approved Document Q: Security - dwellings,False,True,/approved-documents/approved-document-q-security/,govuk_approved_documents_collection,low,approved-document-q-security,approved_documents,Homeowner-focused explanation of Approved Document Q: Security - dwellings and which project pages should link to it.,Approved Document Q: Security - dwellings
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document R: Physical infrastructure for high-speed electronic communications networks and which project pages sho,Approved Document R: Physical infrastructure for high-spee,False,True,/approved-documents/approved-document-r-physical-infrastructure/,govuk_approved_documents_collection,low,approved-document-r-physical-infrastructure,approved_documents,Homeowner-focused explanation of Approved Document R: Physical infrastructure for high-speed electronic communications networks and which project pages should link to it.,Approved Document R: Physical infrastructure for high-speed electronic communications networks
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document S: Infrastructure for charging electric vehicles and which project pages should link to it.,Approved Document S: Infrastructure for charging electric ,False,True,/approved-documents/approved-document-s-electric-vehicle-charging/,govuk_approved_documents_collection,medium,approved-document-s-electric-vehicle-charging,approved_documents,Homeowner-focused explanation of Approved Document S: Infrastructure for charging electric vehicles and which project pages should link to it.,Approved Document S: Infrastructure for charging electric vehicles
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document T: Toilet accommodation and which project pages should link to it.,Approved Document T: Toilet accommodation,False,True,/approved-documents/approved-document-t-toilets/,govuk_approved_documents_collection,low,approved-document-t-toilets,approved_documents,Homeowner-focused explanation of Approved Document T: Toilet accommodation and which project pages should link to it.,Approved Document T: Toilet accommodation
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Regulation 7: Materials and workmanship and which project pages should link to it.,Regulation 7: Materials and workmanship,False,True,/approved-documents/regulation-7-materials-workmanship/,govuk_approved_documents_collection,medium,regulation-7-materials-workmanship,approved_documents,Homeowner-focused explanation of Regulation 7: Materials and workmanship and which project pages should link to it.,Regulation 7: Materials and workmanship
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,"Chooses likely next route: planning-first, full plans, building notice, competent person, regularisation, or specialist advice.",Building Control Route Checker,False,True,/tools/building-control-route-checker/,govuk_building_regs_approval,high,building-control-route-checker,tool,"Chooses likely next route: planning-first, full plans, building notice, competent person, regularisation, or specialist advice.",Building Control Route Checker
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,"Compares project complexity, certainty needs, start timing and structural risk.",Full Plans vs Building Notice Checker,False,True,/tools/full-plans-vs-building-notice-checker/,govuk_building_regs_approval,high,full-plans-vs-building-notice-checker,tool,"Compares project complexity, certainty needs, start timing and structural risk.",Full Plans vs Building Notice Checker
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,Checks whether the work type commonly fits registered installer self-certification.,Competent Person Scheme Checker,False,True,/tools/competent-person-scheme-checker/,govuk_building_regs_approval,high,competent-person-scheme-checker,tool,Checks whether the work type commonly fits registered installer self-certification.,Competent Person Scheme Checker
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,"Creates a record list for inspections, certificates and missing evidence before completion.",Completion Certificate Readiness Checker,False,True,/tools/completion-certificate-readiness-checker/,govuk_building_regs_approval,high,completion-certificate-readiness-checker,tool,"Creates a record list for inspections, certificates and missing evidence before completion.",Completion Certificate Readiness Checker
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,"Builds likely inspection/evidence stages for extensions, lofts, garages and structural work.",Inspection Stage Checklist Generator,False,True,/tools/inspection-stage-checklist-generator/,govuk_building_regs_approval,high,inspection-stage-checklist-generator,tool,"Builds likely inspection/evidence stages for extensions, lofts, garages and structural work.",Inspection Stage Checklist Generator
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,Maps project features to relevant Approved Documents and source pages.,Approved Document Router,False,True,/tools/approved-document-router/,govuk_how_to_apply,high,approved-document-router,tool,Maps project features to relevant Approved Documents and source pages.,Approved Document Router
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,Generates a pre-application pack for extension building control conversations.,Extension Building Regs Prep Pack,False,True,/tools/extension-regs-prep-pack/,govuk_how_to_apply,high,extension-regs-prep-pack,tool,Generates a pre-application pack for extension building control conversations.,Extension Building Regs Prep Pack
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,"Flags loft conversion fire, escape and stair questions to settle before quotes.",Loft Fire Safety Prep Checker,False,True,/tools/loft-fire-safety-prep-checker/,govuk_how_to_apply,high,loft-fire-safety-prep-checker,tool,"Flags loft conversion fire, escape and stair questions to settle before quotes.",Loft Fire Safety Prep Checker
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,"Checks common garage conversion triggers: damp, insulation, ventilation, structure and fire.",Garage Conversion Building Regs Checker,False,True,/tools/garage-conversion-regs-checker/,govuk_how_to_apply,high,garage-conversion-regs-checker,tool,"Checks common garage conversion triggers: damp, insulation, ventilation, structure and fire.",Garage Conversion Building Regs Checker
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,"Creates a checklist for beams, openings, calculations, party wall risk and inspections.",Structural Alteration Readiness Checker,False,True,/tools/structural-alteration-readiness-checker/,govuk_how_to_apply,high,structural-alteration-readiness-checker,tool,"Creates a checklist for beams, openings, calculations, party wall risk and inspections.",Structural Alteration Readiness Checker
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,Checks whether drainage changes need early building control/design input.,Drainage and Waste Route Checker,False,True,/tools/drainage-waste-route-checker/,govuk_how_to_apply,medium,drainage-waste-route-checker,tool,Checks whether drainage changes need early building control/design input.,Drainage and Waste Route Checker
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,Helps homeowners know what certificate/evidence to request and keep.,Windows and Doors Certificate Checker,False,True,/tools/windows-doors-certificate-checker/,govuk_how_to_apply,medium,windows-doors-certificate-checker,tool,Helps homeowners know what certificate/evidence to request and keep.,Windows and Doors Certificate Checker
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,"Routes electrical work to competent person, building control or non-notifiable evidence reminder.",Electrical Work Notifiable Checker,False,True,/tools/electrical-work-notifiable-checker/,govuk_how_to_apply,medium,electrical-work-notifiable-checker,tool,"Routes electrical work to competent person, building control or non-notifiable evidence reminder.",Electrical Work Notifiable Checker
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,Shows certificate and installer evidence to keep for heating/boiler work.,Heating and Boiler Evidence Checker,False,True,/tools/heating-boiler-evidence-checker/,govuk_how_to_apply,medium,heating-boiler-evidence-checker,tool,Shows certificate and installer evidence to keep for heating/boiler work.,Heating and Boiler Evidence Checker
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,For missing historic approvals; outputs what records to collect before approaching building control.,Regularisation Risk Triage,False,True,/tools/regularisation-risk-triage/,govuk_how_to_apply,medium,regularisation-risk-triage,tool,For missing historic approvals; outputs what records to collect before approaching building control.,Regularisation Risk Triage
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,Creates a record sheet for building-control evidence when selling or remortgaging.,Sale or Remortgage Evidence Pack Builder,False,True,/tools/sale-remortgage-evidence-pack-builder/,govuk_how_to_apply,medium,sale-remortgage-evidence-pack-builder,tool,Creates a record sheet for building-control evidence when selling or remortgaging.,Sale or Remortgage Evidence Pack Builder
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,Prevents users relying on the wrong jurisdiction guidance.,"England, Wales or Scotland Route Selector",False,True,/tools/jurisdiction-route-selector/,govuk_how_to_apply,medium,jurisdiction-route-selector,tool,Prevents users relying on the wrong jurisdiction guidance.,"England, Wales or Scotland Route Selector"
batch_1_seed,https://buildingregsguide.co.uk,download,England-first,Printable HTML-first checklist: Extension building regulations checklist.,Extension building regulations checklist,False,True,/downloads/extension-building-regulations-checklist/,govuk_building_regs_approval,high,extension-building-regulations-checklist,download,Printable HTML-first checklist: Extension building regulations checklist.,Extension building regulations checklist
batch_1_seed,https://buildingregsguide.co.uk,download,England-first,Printable HTML-first checklist: Loft conversion building regulations checklist.,Loft conversion building regulations checklist,False,True,/downloads/loft-conversion-building-regulations-checklist/,govuk_building_regs_approval,high,loft-conversion-building-regulations-checklist,download,Printable HTML-first checklist: Loft conversion building regulations checklist.,Loft conversion building regulations checklist
batch_1_seed,https://buildingregsguide.co.uk,download,England-first,Printable HTML-first checklist: Garage conversion building regulations checklist.,Garage conversion building regulations checklist,False,True,/downloads/garage-conversion-building-regulations-checklist/,govuk_building_regs_approval,high,garage-conversion-building-regulations-checklist,download,Printable HTML-first checklist: Garage conversion building regulations checklist.,Garage conversion building regulations checklist
